paper_id,author_id,author_name,selected_variant,selection_reason,institution_raw,institution_normalized,candidate_score,first_page_text_path,source_url
NEURIPS-2018-P0001,NEURIPS-2018-A000001,Hexiang Hu,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0001.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf
NEURIPS-2018-P0001,NEURIPS-2018-A000002,Liyu Chen,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0001.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf
NEURIPS-2018-P0001,NEURIPS-2018-A000003,Boqing Gong,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0001.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf
NEURIPS-2018-P0001,NEURIPS-2018-A000004,Fei Sha,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0001.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf
NEURIPS-2018-P0002,NEURIPS-2018-A000005,Pedro Morgado,stacked,best_scoring_candidate,"University of California, San Diego∗ Nuno Vasconcelos University of California, San Diego","University of California, San Diego∗ Nuno Vasconcelos University of California, San Diego",4,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0002.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/01161aaa0b6d1345dd8fe4e481144d84-Paper.pdf
NEURIPS-2018-P0002,NEURIPS-2018-A000006,Nuno Nvasconcelos,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0002.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/01161aaa0b6d1345dd8fe4e481144d84-Paper.pdf
NEURIPS-2018-P0002,NEURIPS-2018-A000007,Timothy Langlois,stacked,best_scoring_candidate,"Adobe Research, Seattle","Adobe Research, Seattle",2,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0002.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/01161aaa0b6d1345dd8fe4e481144d84-Paper.pdf
NEURIPS-2018-P0002,NEURIPS-2018-A000008,Oliver Wang,stacked,best_scoring_candidate,"Adobe Research, Seattle","Adobe Research, Seattle",2,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0002.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/01161aaa0b6d1345dd8fe4e481144d84-Paper.pdf
NEURIPS-2018-P0003,NEURIPS-2018-A000009,Eitan Richardson,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0003.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/0172d289da48c48de8c5ebf3de9f7ee1-Paper.pdf
NEURIPS-2018-P0003,NEURIPS-2018-A000010,Yair Weiss,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0003.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/0172d289da48c48de8c5ebf3de9f7ee1-Paper.pdf
