paper_id,title,author_ids,conference,year,source_url
AAAI-2019-P0001,Robust Online Matching with User Arrival Distribution Drift,AAAI-2019-A000001|AAAI-2019-A000002|AAAI-2019-A000003|AAAI-2019-A000004|AAAI-2019-A000005|AAAI-2019-A000006,AAAI,2019,https://aaai.org/papers/00459-robust-online-matching-with-user-arrival-distribution-drift/
AAAI-2019-P0002,VistaNet: Visual Aspect Attention Network for Multimodal Sentiment Analysis,AAAI-2019-A000007|AAAI-2019-A000008,AAAI,2019,https://aaai.org/papers/00305-vistanet-visual-aspect-attention-network-for-multimodal-sentiment-analysis/
AAAI-2019-P0003,UGSD: User Generated Sentiment Dictionaries from Online Customer Reviews,AAAI-2019-A000009|AAAI-2019-A000010|AAAI-2019-A000011|AAAI-2019-A000012,AAAI,2019,https://aaai.org/papers/00313-ugsd-user-generated-sentiment-dictionaries-from-online-customer-reviews/
AAAI-2019-P0004,Community Detection in Social Networks Considering Topic Correlations,AAAI-2019-A000013|AAAI-2019-A000014|AAAI-2019-A000015|AAAI-2019-A000016,AAAI,2019,https://aaai.org/papers/00321-community-detection-in-social-networks-considering-topic-correlations/
AAAI-2019-P0005,Community Focusing: Yet Another Query-Dependent Community Detection,AAAI-2019-A000017|AAAI-2019-A000018|AAAI-2019-A000019|AAAI-2019-A000020|AAAI-2019-A000021|AAAI-2019-A000022,AAAI,2019,https://aaai.org/papers/00329-community-focusing-yet-another-query-dependent-community-detection/
AAAI-2019-P0006,Multi-Level Deep Cascade Trees for Conversion Rate Prediction in Recommendation System,AAAI-2019-A000023|AAAI-2019-A000024|AAAI-2019-A000025|AAAI-2019-A000026|AAAI-2019-A000027,AAAI,2019,https://aaai.org/papers/00338-multi-level-deep-cascade-trees-for-conversion-rate-prediction-in-recommendation-system/
AAAI-2019-P0007,Session-Based Recommendation with Graph Neural Networks,AAAI-2019-A000028|AAAI-2019-A000029|AAAI-2019-A000030|AAAI-2019-A000031|AAAI-2019-A000032|AAAI-2019-A000033,AAAI,2019,https://aaai.org/papers/00346-session-based-recommendation-with-graph-neural-networks/
AAAI-2019-P0008,CISI-net: Explicit Latent Content Inference and Imitated Style Rendering for Image Inpainting,AAAI-2019-A000034|AAAI-2019-A000035|AAAI-2019-A000036|AAAI-2019-A000037,AAAI,2019,https://aaai.org/papers/00354-cisi-net-explicit-latent-content-inference-and-imitated-style-rendering-for-image-inpainting/
AAAI-2019-P0009,Structured and Sparse Annotations for Image Emotion Distribution Learning,AAAI-2019-A000038|AAAI-2019-A000039|AAAI-2019-A000040|AAAI-2019-A000041,AAAI,2019,https://aaai.org/papers/00363-structured-and-sparse-annotations-for-image-emotion-distribution-learning/
AAAI-2019-P0010,Multi-Interactive Memory Network for Aspect Based Multimodal Sentiment Analysis,AAAI-2019-A000042|AAAI-2019-A000043|AAAI-2019-A000044,AAAI,2019,https://aaai.org/papers/00371-multi-interactive-memory-network-for-aspect-based-multimodal-sentiment-analysis/
AAAI-2019-P0011,Multi-View Information-Theoretic Co-Clustering for Co-Occurrence Data,AAAI-2019-A000045|AAAI-2019-A000046|AAAI-2019-A000047|AAAI-2019-A000048|AAAI-2019-A000049,AAAI,2019,https://aaai.org/papers/00379-multi-view-information-theoretic-co-clustering-for-co-occurrence-data/
AAAI-2019-P0012,Adversarial Training for Community Question Answer Selection Based on Multi-Scale Matching,AAAI-2019-A000050|AAAI-2019-A000051|AAAI-2019-A000052|AAAI-2019-A000053|AAAI-2019-A000054|AAAI-2019-A000055|AAAI-2019-A000056,AAAI,2019,https://aaai.org/papers/00395-adversarial-training-for-community-question-answer-selection-based-on-multi-scale-matching/
AAAI-2019-P0013,TransNFCM: Translation-Based Neural Fashion Compatibility Modeling,AAAI-2019-A000057|AAAI-2019-A000058|AAAI-2019-A000059|AAAI-2019-A000060|AAAI-2019-A000061,AAAI,2019,https://aaai.org/papers/00403-transnfcm-translation-based-neural-fashion-compatibility-modeling/
AAAI-2019-P0014,Data Augmentation Based on Adversarial Autoencoder Handling Imbalance for Learning to Rank,AAAI-2019-A000062|AAAI-2019-A000063,AAAI,2019,https://aaai.org/papers/00411-data-augmentation-based-on-adversarial-autoencoder-handling-imbalance-for-learning-to-rank/
AAAI-2019-P0015,Cross-Relation Cross-Bag Attention for Distantly-Supervised Relation Extraction,AAAI-2019-A000064|AAAI-2019-A000065|AAAI-2019-A000066|AAAI-2019-A000067|AAAI-2019-A000068|AAAI-2019-A000069|AAAI-2019-A000070|AAAI-2019-A000071,AAAI,2019,https://aaai.org/papers/00419-cross-relation-cross-bag-attention-for-distantly-supervised-relation-extraction/
AAAI-2019-P0016,Text Assisted Insight Ranking Using Context-Aware Memory Network,AAAI-2019-A000072|AAAI-2019-A000073|AAAI-2019-A000074|AAAI-2019-A000075,AAAI,2019,https://aaai.org/papers/00427-text-assisted-insight-ranking-using-context-aware-memory-network/
AAAI-2019-P0017,Hierarchical Reinforcement Learning for Course Recommendation in MOOCs,AAAI-2019-A000076|AAAI-2019-A000077|AAAI-2019-A000078|AAAI-2019-A000079|AAAI-2019-A000080|AAAI-2019-A000081,AAAI,2019,https://aaai.org/papers/00435-hierarchical-reinforcement-learning-for-course-recommendation-in-moocs/
AAAI-2019-P0018,Regularizing Neural Machine Translation by Target-Bidirectional Agreement,AAAI-2019-A000082|AAAI-2019-A000083|AAAI-2019-A000084|AAAI-2019-A000085|AAAI-2019-A000086|AAAI-2019-A000087,AAAI,2019,https://aaai.org/papers/00443-regularizing-neural-machine-translation-by-target-bidirectional-agreement/
AAAI-2019-P0019,Addressing the Under-Translation Problem from the Entropy Perspective,AAAI-2019-A000088|AAAI-2019-A000089|AAAI-2019-A000090|AAAI-2019-A000091|AAAI-2019-A000092,AAAI,2019,https://aaai.org/papers/00451-addressing-the-under-translation-problem-from-the-entropy-perspective/
