paper_id,author_id,author_position
ECCV-2020-P0026,ECCV-2020-A000123,4
ECCV-2020-P0026,ECCV-2020-A000124,5
ECCV-2020-P0027,ECCV-2020-A000125,1
ECCV-2020-P0027,ECCV-2020-A000126,2
ECCV-2020-P0027,ECCV-2020-A000127,3
ECCV-2020-P0028,ECCV-2020-A000128,1
ECCV-2020-P0028,ECCV-2020-A000129,2
ECCV-2020-P0029,ECCV-2020-A000130,1
ECCV-2020-P0029,ECCV-2020-A000131,2
ECCV-2020-P0029,ECCV-2020-A000132,3
ECCV-2020-P0029,ECCV-2020-A000133,4
ECCV-2020-P0029,ECCV-2020-A000134,5
ECCV-2020-P0029,ECCV-2020-A000135,6
ECCV-2020-P0030,ECCV-2020-A000136,1
ECCV-2020-P0030,ECCV-2020-A000137,2
ECCV-2020-P0030,ECCV-2020-A000138,3
ECCV-2020-P0030,ECCV-2020-A000139,4
ECCV-2020-P0030,ECCV-2020-A000140,5
ECCV-2020-P0030,ECCV-2020-A000141,6
ECCV-2020-P0031,ECCV-2020-A000142,1
ECCV-2020-P0031,ECCV-2020-A000143,2
ECCV-2020-P0031,ECCV-2020-A000144,3
ECCV-2020-P0031,ECCV-2020-A000145,4
ECCV-2020-P0031,ECCV-2020-A000146,5
ECCV-2020-P0032,ECCV-2020-A000147,1
ECCV-2020-P0032,ECCV-2020-A000148,2
ECCV-2020-P0032,ECCV-2020-A000149,3
ECCV-2020-P0032,ECCV-2020-A000150,4
ECCV-2020-P0032,ECCV-2020-A000151,5
ECCV-2020-P0033,ECCV-2020-A000152,1
ECCV-2020-P0033,ECCV-2020-A000153,2
ECCV-2020-P0033,ECCV-2020-A000154,3
ECCV-2020-P0033,ECCV-2020-A000155,4
ECCV-2020-P0034,ECCV-2020-A000156,1
ECCV-2020-P0034,ECCV-2020-A000157,2
ECCV-2020-P0034,ECCV-2020-A000158,3
ECCV-2020-P0034,ECCV-2020-A000159,4
ECCV-2020-P0034,ECCV-2020-A000160,5
ECCV-2020-P0034,ECCV-2020-A000161,6
ECCV-2020-P0035,ECCV-2020-A000162,1
ECCV-2020-P0035,ECCV-2020-A000163,2
ECCV-2020-P0035,ECCV-2020-A000164,3
ECCV-2020-P0036,ECCV-2020-A000165,1
ECCV-2020-P0036,ECCV-2020-A000166,2
ECCV-2020-P0036,ECCV-2020-A000167,3
ECCV-2020-P0036,ECCV-2020-A000168,4
ECCV-2020-P0036,ECCV-2020-A000169,5
ECCV-2020-P0036,ECCV-2020-A000170,6
ECCV-2020-P0037,ECCV-2020-A000171,1
ECCV-2020-P0037,ECCV-2020-A000172,2
ECCV-2020-P0037,ECCV-2020-A000173,3
ECCV-2020-P0037,ECCV-2020-A000174,4
ECCV-2020-P0038,ECCV-2020-A000175,1
ECCV-2020-P0038,ECCV-2020-A000176,2
ECCV-2020-P0038,ECCV-2020-A000177,3
ECCV-2020-P0038,ECCV-2020-A000178,4
ECCV-2020-P0038,ECCV-2020-A000179,5
ECCV-2020-P0038,ECCV-2020-A000180,6
ECCV-2020-P0039,ECCV-2020-A000181,1
ECCV-2020-P0039,ECCV-2020-A000182,2
ECCV-2020-P0039,ECCV-2020-A000183,3
ECCV-2020-P0040,ECCV-2020-A000184,1
ECCV-2020-P0040,ECCV-2020-A000185,2
ECCV-2020-P0040,ECCV-2020-A000186,3
ECCV-2020-P0040,ECCV-2020-A000187,4
ECCV-2020-P0040,ECCV-2020-A000188,5
ECCV-2020-P0040,ECCV-2020-A000189,6
ECCV-2020-P0041,ECCV-2020-A000190,1
ECCV-2020-P0041,ECCV-2020-A000191,2
ECCV-2020-P0041,ECCV-2020-A000192,3
ECCV-2020-P0041,ECCV-2020-A000193,4
ECCV-2020-P0042,ECCV-2020-A000194,1
ECCV-2020-P0042,ECCV-2020-A000195,2
ECCV-2020-P0042,ECCV-2020-A000196,3
ECCV-2020-P0042,ECCV-2020-A000197,4
ECCV-2020-P0042,ECCV-2020-A000198,5
ECCV-2020-P0043,ECCV-2020-A000199,1
ECCV-2020-P0043,ECCV-2020-A000200,2
ECCV-2020-P0043,ECCV-2020-A000201,3
ECCV-2020-P0044,ECCV-2020-A000202,1
ECCV-2020-P0044,ECCV-2020-A000203,2
ECCV-2020-P0044,ECCV-2020-A000204,3
ECCV-2020-P0044,ECCV-2020-A000205,4
ECCV-2020-P0045,ECCV-2020-A000206,1
ECCV-2020-P0045,ECCV-2020-A000207,2
ECCV-2020-P0045,ECCV-2020-A000208,3
ECCV-2020-P0045,ECCV-2020-A000209,4
ECCV-2020-P0045,ECCV-2020-A000210,5
ECCV-2020-P0045,ECCV-2020-A000211,6
ECCV-2020-P0046,ECCV-2020-A000212,1
ECCV-2020-P0046,ECCV-2020-A000213,2
ECCV-2020-P0046,ECCV-2020-A000214,3
ECCV-2020-P0046,ECCV-2020-A000215,4
ECCV-2020-P0046,ECCV-2020-A000216,5
ECCV-2020-P0047,ECCV-2020-A000217,1
ECCV-2020-P0047,ECCV-2020-A000218,2
ECCV-2020-P0047,ECCV-2020-A000219,3
ECCV-2020-P0047,ECCV-2020-A000220,4
ECCV-2020-P0048,ECCV-2020-A000221,1
ECCV-2020-P0048,ECCV-2020-A000222,2
ECCV-2020-P0048,ECCV-2020-A000223,3
ECCV-2020-P0048,ECCV-2020-A000224,4
ECCV-2020-P0048,ECCV-2020-A000225,5
ECCV-2020-P0049,ECCV-2020-A000226,1
ECCV-2020-P0049,ECCV-2020-A000227,2
ECCV-2020-P0049,ECCV-2020-A000228,3
ECCV-2020-P0049,ECCV-2020-A000229,4
ECCV-2020-P0049,ECCV-2020-A000230,5
ECCV-2020-P0050,ECCV-2020-A000231,1
ECCV-2020-P0050,ECCV-2020-A000232,2
ECCV-2020-P0050,ECCV-2020-A000233,3
ECCV-2020-P0050,ECCV-2020-A000234,4
ECCV-2020-P0050,ECCV-2020-A000235,5
ECCV-2020-P0051,ECCV-2020-A000236,1
ECCV-2020-P0051,ECCV-2020-A000237,2
ECCV-2020-P0051,ECCV-2020-A000238,3
ECCV-2020-P0051,ECCV-2020-A000239,4
ECCV-2020-P0051,ECCV-2020-A000240,5
ECCV-2020-P0051,ECCV-2020-A000241,6
ECCV-2020-P0052,ECCV-2020-A000242,1
ECCV-2020-P0052,ECCV-2020-A000243,2
ECCV-2020-P0052,ECCV-2020-A000244,3
ECCV-2020-P0052,ECCV-2020-A000245,4
ECCV-2020-P0052,ECCV-2020-A000246,5
ECCV-2020-P0053,ECCV-2020-A000247,1
ECCV-2020-P0053,ECCV-2020-A000248,2
ECCV-2020-P0053,ECCV-2020-A000249,3
ECCV-2020-P0053,ECCV-2020-A000250,4
ECCV-2020-P0054,ECCV-2020-A000251,1
ECCV-2020-P0054,ECCV-2020-A000252,2
ECCV-2020-P0054,ECCV-2020-A000253,3
ECCV-2020-P0054,ECCV-2020-A000254,4
ECCV-2020-P0055,ECCV-2020-A000255,1
ECCV-2020-P0055,ECCV-2020-A000256,2
ECCV-2020-P0055,ECCV-2020-A000257,3
ECCV-2020-P0055,ECCV-2020-A000258,4
ECCV-2020-P0056,ECCV-2020-A000259,1
ECCV-2020-P0056,ECCV-2020-A000260,2
ECCV-2020-P0056,ECCV-2020-A000261,3
ECCV-2020-P0056,ECCV-2020-A000262,4
ECCV-2020-P0056,ECCV-2020-A000263,5
ECCV-2020-P0056,ECCV-2020-A000264,6
ECCV-2020-P0057,ECCV-2020-A000265,1
ECCV-2020-P0057,ECCV-2020-A000266,2
ECCV-2020-P0057,ECCV-2020-A000267,3
ECCV-2020-P0057,ECCV-2020-A000268,4
ECCV-2020-P0057,ECCV-2020-A000269,5
ECCV-2020-P0057,ECCV-2020-A000270,6
ECCV-2020-P0058,ECCV-2020-A000271,1
ECCV-2020-P0058,ECCV-2020-A000272,2
ECCV-2020-P0058,ECCV-2020-A000273,3
ECCV-2020-P0058,ECCV-2020-A000274,4
ECCV-2020-P0058,ECCV-2020-A000275,5
ECCV-2020-P0058,ECCV-2020-A000276,6
ECCV-2020-P0059,ECCV-2020-A000277,1
ECCV-2020-P0059,ECCV-2020-A000278,2
ECCV-2020-P0059,ECCV-2020-A000279,3
ECCV-2020-P0059,ECCV-2020-A000280,4
ECCV-2020-P0059,ECCV-2020-A000281,5
ECCV-2020-P0059,ECCV-2020-A000282,6
ECCV-2020-P0060,ECCV-2020-A000283,1
ECCV-2020-P0060,ECCV-2020-A000284,2
ECCV-2020-P0060,ECCV-2020-A000285,3
ECCV-2020-P0060,ECCV-2020-A000286,4
ECCV-2020-P0060,ECCV-2020-A000287,5
ECCV-2020-P0061,ECCV-2020-A000288,1
ECCV-2020-P0061,ECCV-2020-A000289,2
ECCV-2020-P0061,ECCV-2020-A000290,3
ECCV-2020-P0062,ECCV-2020-A000291,1
ECCV-2020-P0062,ECCV-2020-A000292,2
ECCV-2020-P0062,ECCV-2020-A000293,3
ECCV-2020-P0062,ECCV-2020-A000294,4
ECCV-2020-P0062,ECCV-2020-A000295,5
ECCV-2020-P0062,ECCV-2020-A000296,6
ECCV-2020-P0063,ECCV-2020-A000297,1
ECCV-2020-P0063,ECCV-2020-A000298,2
ECCV-2020-P0063,ECCV-2020-A000299,3
ECCV-2020-P0063,ECCV-2020-A000300,4
ECCV-2020-P0063,ECCV-2020-A000301,5
ECCV-2020-P0064,ECCV-2020-A000302,1
ECCV-2020-P0064,ECCV-2020-A000303,2
ECCV-2020-P0064,ECCV-2020-A000304,3
ECCV-2020-P0064,ECCV-2020-A000305,4
ECCV-2020-P0064,ECCV-2020-A000306,5
ECCV-2020-P0064,ECCV-2020-A000307,6
ECCV-2020-P0065,ECCV-2020-A000308,1
ECCV-2020-P0065,ECCV-2020-A000309,2
ECCV-2020-P0065,ECCV-2020-A000310,3
ECCV-2020-P0065,ECCV-2020-A000311,4
ECCV-2020-P0066,ECCV-2020-A000312,1
ECCV-2020-P0066,ECCV-2020-A000313,2
ECCV-2020-P0066,ECCV-2020-A000314,3
ECCV-2020-P0066,ECCV-2020-A000315,4
ECCV-2020-P0067,ECCV-2020-A000316,1
ECCV-2020-P0067,ECCV-2020-A000317,2
ECCV-2020-P0067,ECCV-2020-A000318,3
ECCV-2020-P0067,ECCV-2020-A000319,4
ECCV-2020-P0068,ECCV-2020-A000320,1
ECCV-2020-P0068,ECCV-2020-A000321,2
ECCV-2020-P0068,ECCV-2020-A000322,3
ECCV-2020-P0069,ECCV-2020-A000323,1
ECCV-2020-P0069,ECCV-2020-A000324,2
ECCV-2020-P0069,ECCV-2020-A000325,3
ECCV-2020-P0069,ECCV-2020-A000326,4
ECCV-2020-P0069,ECCV-2020-A000327,5
ECCV-2020-P0070,ECCV-2020-A000328,1
ECCV-2020-P0070,ECCV-2020-A000329,2
ECCV-2020-P0071,ECCV-2020-A000330,1
ECCV-2020-P0071,ECCV-2020-A000331,2
ECCV-2020-P0071,ECCV-2020-A000332,3
ECCV-2020-P0071,ECCV-2020-A000333,4
ECCV-2020-P0071,ECCV-2020-A000334,5
ECCV-2020-P0071,ECCV-2020-A000335,6
ECCV-2020-P0072,ECCV-2020-A000336,1
ECCV-2020-P0072,ECCV-2020-A000337,2
ECCV-2020-P0072,ECCV-2020-A000338,3
ECCV-2020-P0073,ECCV-2020-A000339,1
