author_id,author_name,institution,country,conference,year
ICML-2015-A000001,Peilin Zhao,UNKNOWN,Singapore | China,ICML,2015
ICML-2015-A000002,Tong Zhang,UNKNOWN,United States | China,ICML,2015
ICML-2015-A000003,Nihar Shah,UNKNOWN,United States,ICML,2015
ICML-2015-A000004,Dengyong Zhou,UNKNOWN,United States,ICML,2015
ICML-2015-A000005,Yuval Peres,UNKNOWN,United States,ICML,2015
ICML-2015-A000006,Wacha Bounliphone,UNKNOWN,France,ICML,2015
ICML-2015-A000007,Arthur Gretton,UNKNOWN,United Kingdom,ICML,2015
ICML-2015-A000008,Arthur Tenenhaus,UNKNOWN,France,ICML,2015
ICML-2015-A000009,Matthew Blaschko,UNKNOWN,UNKNOWN,ICML,2015
ICML-2015-A000010,Lu Bai,UNKNOWN,China,ICML,2015
ICML-2015-A000011,Luca Rossi,UNKNOWN,United Kingdom,ICML,2015
ICML-2015-A000012,Zhihong Zhang,UNKNOWN,China,ICML,2015
ICML-2015-A000013,Edwin Hancock,UNKNOWN,United Kingdom,ICML,2015
ICML-2015-A000014,Christos Boutsidis,UNKNOWN,United States,ICML,2015
ICML-2015-A000015,Prabhanjan Kambadur,UNKNOWN,United States,ICML,2015
ICML-2015-A000016,Alex Gittens,UNKNOWN,United States,ICML,2015
ICML-2015-A000017,Ke Sun,UNKNOWN,Switzerland,ICML,2015
ICML-2015-A000018,Jun Wang,UNKNOWN,Switzerland,ICML,2015
ICML-2015-A000019,Alexandros Kalousis,UNKNOWN,Switzerland,ICML,2015
ICML-2015-A000020,Stephan Marchand-Maillet,UNKNOWN,Switzerland,ICML,2015
ICML-2015-A000021,Jean-Baptiste Tristan,UNKNOWN,United States,ICML,2015
ICML-2015-A000022,Joseph Tassarotti,UNKNOWN,United States,ICML,2015
ICML-2015-A000023,Guy Steele,UNKNOWN,United States,ICML,2015
ICML-2015-A000024,Peilin Zhao,UNKNOWN,Singapore | China,ICML,2015
ICML-2015-A000025,Jinwei Yang,UNKNOWN,United States,ICML,2015
ICML-2015-A000026,Tong Zhang,UNKNOWN,United States | China,ICML,2015
ICML-2015-A000027,Ping Li,UNKNOWN,United States,ICML,2015
ICML-2015-A000028,Alekh Agarwal,UNKNOWN,United States,ICML,2015
ICML-2015-A000029,Leon Bottou,UNKNOWN,UNKNOWN,ICML,2015
ICML-2015-A000030,Dani Yogatama,UNKNOWN,United States,ICML,2015
ICML-2015-A000031,Manaal Faruqui,UNKNOWN,United States,ICML,2015
ICML-2015-A000032,Chris Dyer,UNKNOWN,United States,ICML,2015
ICML-2015-A000033,Noah Smith,UNKNOWN,UNKNOWN,ICML,2015
ICML-2015-A000034,Mingsheng Long,UNKNOWN,China,ICML,2015
ICML-2015-A000035,Yue Cao,UNKNOWN,China,ICML,2015
ICML-2015-A000036,Jianmin Wang,UNKNOWN,China,ICML,2015
ICML-2015-A000037,Michael Jordan,UNKNOWN,United States,ICML,2015
ICML-2015-A000038,Takayuki Osogami,UNKNOWN,Japan,ICML,2015
ICML-2015-A000039,Han Zhao,UNKNOWN,Canada,ICML,2015
ICML-2015-A000040,Mazen Melibari,UNKNOWN,Canada,ICML,2015
ICML-2015-A000041,Pascal Poupart,UNKNOWN,Canada,ICML,2015
ICML-2015-A000042,Aditya Menon,UNKNOWN,Australia,ICML,2015
ICML-2015-A000043,Brendan Van Rooyen,UNKNOWN,Australia,ICML,2015
ICML-2015-A000044,Cheng Soon Ong,UNKNOWN,Australia,ICML,2015
ICML-2015-A000045,Bob Williamson,UNKNOWN,Australia,ICML,2015
ICML-2015-A000046,Tianbao Yang,UNKNOWN,United States,ICML,2015
ICML-2015-A000047,Lijun Zhang,UNKNOWN,China,ICML,2015
ICML-2015-A000048,Rong Jin,UNKNOWN,United States,ICML,2015
ICML-2015-A000049,Shenghuo Zhu,UNKNOWN,United States,ICML,2015
ICML-2015-A000050,Ohad Shamir,UNKNOWN,Israel,ICML,2015
ICML-2015-A000051,Doron Kukliansky,UNKNOWN,Israel,ICML,2015
ICML-2015-A000052,Ohad Shamir,UNKNOWN,Israel,ICML,2015
ICML-2015-A000053,Ethan Fetaya,UNKNOWN,Israel,ICML,2015
ICML-2015-A000054,Shimon Ullman,UNKNOWN,Israel,ICML,2015
ICML-2015-A000055,Zhuang Ma,UNKNOWN,United States,ICML,2015
ICML-2015-A000056,Yichao Lu,UNKNOWN,United States,ICML,2015
ICML-2015-A000057,Dean Foster,UNKNOWN,United States,ICML,2015
ICML-2015-A000058,Nan Jiang,UNKNOWN,United States,ICML,2015
ICML-2015-A000059,Alex Kulesza,UNKNOWN,United States,ICML,2015
ICML-2015-A000060,Satinder Singh,UNKNOWN,United States,ICML,2015
ICML-2015-A000061,Purushottam Kar,UNKNOWN,India,ICML,2015
ICML-2015-A000062,Harikrishna Narasimhan,UNKNOWN,India,ICML,2015
ICML-2015-A000063,Prateek Jain,UNKNOWN,India,ICML,2015
ICML-2015-A000064,Harikrishna Narasimhan,UNKNOWN,India,ICML,2015
ICML-2015-A000065,Purushottam Kar,UNKNOWN,India,ICML,2015
ICML-2015-A000066,Prateek Jain,UNKNOWN,India,ICML,2015
ICML-2015-A000067,Olivier Bachem,UNKNOWN,Switzerland,ICML,2015
ICML-2015-A000068,Mario Lucic,UNKNOWN,Switzerland,ICML,2015
ICML-2015-A000069,Andreas Krause,UNKNOWN,Switzerland,ICML,2015
ICML-2015-A000070,Pratik Gajane,UNKNOWN,France,ICML,2015
ICML-2015-A000071,Tanguy Urvoy,UNKNOWN,France,ICML,2015
ICML-2015-A000072,Fabrice Clérot,UNKNOWN,France,ICML,2015
ICML-2015-A000073,Mohammad Taha Bahadori,UNKNOWN,United States,ICML,2015
ICML-2015-A000074,David Kale,UNKNOWN,United States,ICML,2015
ICML-2015-A000075,Yingying Fan,UNKNOWN,United States,ICML,2015
ICML-2015-A000076,Yan Liu,UNKNOWN,United States,ICML,2015
ICML-2015-A000077,Rose Yu,UNKNOWN,United States,ICML,2015
ICML-2015-A000078,Dehua Cheng,UNKNOWN,United States,ICML,2015
ICML-2015-A000079,Yan Liu,UNKNOWN,United States,ICML,2015
ICML-2015-A000080,Sean Jewell,UNKNOWN,Canada,ICML,2015
ICML-2015-A000081,Neil Spencer,UNKNOWN,Canada,ICML,2015
ICML-2015-A000082,Alexandre Bouchard-Côté,UNKNOWN,Canada,ICML,2015
ICML-2015-A000083,Elad Hazan,UNKNOWN,United States | Israel,ICML,2015
ICML-2015-A000084,Roi Livni,UNKNOWN,Israel,ICML,2015
ICML-2015-A000085,Yishay Mansour,UNKNOWN,Israel,ICML,2015
ICML-2015-A000086,Oran Richman,UNKNOWN,Israel,ICML,2015
ICML-2015-A000087,Shie Mannor,UNKNOWN,Israel,ICML,2015
ICML-2015-A000088,Pinghua Gong,UNKNOWN,United States,ICML,2015
ICML-2015-A000089,Jieping Ye,UNKNOWN,United States,ICML,2015
ICML-2015-A000090,Naji Shajarisales,UNKNOWN,Germany,ICML,2015
ICML-2015-A000091,Dominik Janzing,UNKNOWN,Germany,ICML,2015
ICML-2015-A000092,Bernhard Schoelkopf,UNKNOWN,Germany,ICML,2015
