track_label,track_url
No. 1: AAAI-22 Technical Tracks 1,https://aaai.org/proceeding/01-aaai-22-technical-tracks-1/
No. 2: AAAI-22 Technical Tracks 2,https://aaai.org/proceeding/02-aaai-22-technical-tracks-2/
