author_id,author_name,institution,country,conference,year
NEURIPS-2015-A000001,Zheng Qu,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000002,Peter Richtarik,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000003,Tong Zhang,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000004,Arya Mazumdar,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000005,Ankit Singh Rawat,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000006,Aviv Tamar,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000007,Yinlam Chow,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000008,Mohammad Ghavamzadeh,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000009,Shie Mannor,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000010,Miguel A. Carreira-Perpinan,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000011,Max Vladymyrov,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000012,Tian Lin,"Microsoft Research Beijing, China each level of greedy learning, one for each of the regret metrics respectively. Both or approximate solutions (e.g. maximum coverage [",China,NeurIPS,2015
NEURIPS-2015-A000013,Jian Li,"Microsoft Research Beijing, China each level of greedy learning, one for each of the regret metrics respectively. Both or approximate solutions (e.g. maximum coverage [",China,NeurIPS,2015
NEURIPS-2015-A000014,Wei Chen,"Microsoft Research Beijing, China each level of greedy learning, one for each of the regret metrics respectively. Both or approximate solutions (e.g. maximum coverage [",China,NeurIPS,2015
NEURIPS-2015-A000015,Qing Sun,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000016,Dhruv Batra,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000017,Huitong Qiu,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000018,Fang Han,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000019,Han Liu,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000020,Brian Caffo,UNKNOWN,UNKNOWN,NeurIPS,2015
NEURIPS-2015-A000021,Maksim Lapin,"Max Planck Institute for Informatics, Saarbrücken, Germany Saarland University, Saarbrücken, Germany of classes. When classes are difficult to discriminate, it makes sense to allow k As the number of classes increases, two important issues emerge: class overlap and multilabel nature of examples [",Germany,NeurIPS,2015
NEURIPS-2015-A000022,Matthias Hein,"Max Planck Institute for Informatics, Saarbrücken, Germany Saarland University, Saarbrücken, Germany of classes. When classes are difficult to discriminate, it makes sense to allow k As the number of classes increases, two important issues emerge: class overlap and multilabel nature of examples [",Germany,NeurIPS,2015
NEURIPS-2015-A000023,Bernt Schiele,"Max Planck Institute for Informatics, Saarbrücken, Germany Saarland University, Saarbrücken, Germany of classes. When classes are difficult to discriminate, it makes sense to allow k As the number of classes increases, two important issues emerge: class overlap and multilabel nature of examples [",Germany,NeurIPS,2015
NEURIPS-2015-A000024,Alessandro Rudi,"Università degli Studi di Genova - DIBRIS, Via Dodecaneso , Genova, Italy Istituto Italiano di Tecnologia - iCub Facility, Via Morego , Genova, Italy Massachusetts Institute of Technology and Istituto Italiano di Tecnologia Laboratory for Computational and Statistical Learning, Cambridge, MA , USA We study Nyström type subsampling approaches to large scale kernel methods, and prove learning bounds in the statistical learning setting, where random sampling and high probability estimates are considered. In particular, we prove that level is suitably chosen. These results suggest a simple incremental variant of Nyström Kernel Regularized Least Squares, where the subsampling level implements a form of computational regularization, in the sense that it controls at approaches to learning [",United States | Italy,NeurIPS,2015
