paper_id,author_id,author_position
CVPR-2021-P0001,CVPR-2021-A000001,1
CVPR-2021-P0001,CVPR-2021-A000002,2
CVPR-2021-P0001,CVPR-2021-A000003,3
CVPR-2021-P0001,CVPR-2021-A000004,4
CVPR-2021-P0001,CVPR-2021-A000005,5
CVPR-2021-P0002,CVPR-2021-A000006,1
CVPR-2021-P0002,CVPR-2021-A000007,2
CVPR-2021-P0002,CVPR-2021-A000008,3
CVPR-2021-P0003,CVPR-2021-A000009,1
CVPR-2021-P0003,CVPR-2021-A000010,2
CVPR-2021-P0003,CVPR-2021-A000011,3
CVPR-2021-P0003,CVPR-2021-A000012,4
CVPR-2021-P0003,CVPR-2021-A000013,5
CVPR-2021-P0003,CVPR-2021-A000014,6
CVPR-2021-P0003,CVPR-2021-A000015,7
CVPR-2021-P0004,CVPR-2021-A000016,1
CVPR-2021-P0004,CVPR-2021-A000017,2
CVPR-2021-P0004,CVPR-2021-A000018,3
CVPR-2021-P0004,CVPR-2021-A000019,4
CVPR-2021-P0004,CVPR-2021-A000020,5
CVPR-2021-P0005,CVPR-2021-A000021,1
CVPR-2021-P0005,CVPR-2021-A000022,2
CVPR-2021-P0005,CVPR-2021-A000023,3
CVPR-2021-P0005,CVPR-2021-A000024,4
CVPR-2021-P0005,CVPR-2021-A000025,5
CVPR-2021-P0005,CVPR-2021-A000026,6
CVPR-2021-P0006,CVPR-2021-A000027,1
CVPR-2021-P0006,CVPR-2021-A000028,2
CVPR-2021-P0006,CVPR-2021-A000029,3
CVPR-2021-P0006,CVPR-2021-A000030,4
CVPR-2021-P0007,CVPR-2021-A000031,1
CVPR-2021-P0007,CVPR-2021-A000032,2
CVPR-2021-P0007,CVPR-2021-A000033,3
CVPR-2021-P0007,CVPR-2021-A000034,4
CVPR-2021-P0007,CVPR-2021-A000035,5
CVPR-2021-P0007,CVPR-2021-A000036,6
CVPR-2021-P0008,CVPR-2021-A000037,1
CVPR-2021-P0008,CVPR-2021-A000038,2
CVPR-2021-P0008,CVPR-2021-A000039,3
CVPR-2021-P0008,CVPR-2021-A000040,4
CVPR-2021-P0008,CVPR-2021-A000041,5
CVPR-2021-P0009,CVPR-2021-A000042,1
CVPR-2021-P0009,CVPR-2021-A000043,2
CVPR-2021-P0009,CVPR-2021-A000044,3
CVPR-2021-P0009,CVPR-2021-A000045,4
CVPR-2021-P0009,CVPR-2021-A000046,5
CVPR-2021-P0010,CVPR-2021-A000047,1
CVPR-2021-P0010,CVPR-2021-A000048,2
CVPR-2021-P0011,CVPR-2021-A000049,1
CVPR-2021-P0011,CVPR-2021-A000050,2
CVPR-2021-P0011,CVPR-2021-A000051,3
CVPR-2021-P0011,CVPR-2021-A000052,4
CVPR-2021-P0011,CVPR-2021-A000053,5
CVPR-2021-P0012,CVPR-2021-A000054,1
CVPR-2021-P0012,CVPR-2021-A000055,2
CVPR-2021-P0012,CVPR-2021-A000056,3
CVPR-2021-P0012,CVPR-2021-A000057,4
CVPR-2021-P0012,CVPR-2021-A000058,5
CVPR-2021-P0012,CVPR-2021-A000059,6
CVPR-2021-P0013,CVPR-2021-A000060,1
CVPR-2021-P0013,CVPR-2021-A000061,2
