paper_id,author_id,author_name,selected_variant,selection_reason,institution_raw,institution_normalized,candidate_score,first_page_text_path,source_url
CVPR-2017-P0005,CVPR-2017-A000018,Iasonas Kokkinos,shared,complete_shared_variant,Imperial College London,Imperial College London,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0005.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Trigeorgis_Face_Normals_In-The-Wild_CVPR_2017_paper.pdf
CVPR-2017-P0005,CVPR-2017-A000019,Stefanos Zafeiriou,shared,complete_shared_variant,Imperial College London,Imperial College London,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0005.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Trigeorgis_Face_Normals_In-The-Wild_CVPR_2017_paper.pdf
CVPR-2017-P0006,CVPR-2017-A000020,James Booth,numbered,complete_numbered_variant,"Imperial College London, UK","Imperial College London, UK",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0006.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Booth_3D_Face_Morphable_CVPR_2017_paper.pdf
CVPR-2017-P0006,CVPR-2017-A000021,Epameinondas Antonakos,numbered,complete_numbered_variant,"Amazon, Berlin, Germany","Amazon, Berlin, Germany",2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0006.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Booth_3D_Face_Morphable_CVPR_2017_paper.pdf
CVPR-2017-P0006,CVPR-2017-A000022,Stylianos Ploumpis,numbered,complete_numbered_variant,"Imperial College London, UK","Imperial College London, UK",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0006.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Booth_3D_Face_Morphable_CVPR_2017_paper.pdf
CVPR-2017-P0006,CVPR-2017-A000023,George Trigeorgis,numbered,complete_numbered_variant,"Imperial College London, UK","Imperial College London, UK",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0006.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Booth_3D_Face_Morphable_CVPR_2017_paper.pdf
CVPR-2017-P0006,CVPR-2017-A000024,Yannis Panagakis,numbered,complete_numbered_variant,"Imperial College London, UK","Imperial College London, UK",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0006.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Booth_3D_Face_Morphable_CVPR_2017_paper.pdf
CVPR-2017-P0006,CVPR-2017-A000025,Stefanos Zafeiriou,numbered,complete_numbered_variant,"Imperial College London, UK | University of Oulu, Finland","Imperial College London, UK | University of Oulu, Finland",7,data/raw/cvpr/2017/first_pages/CVPR-2017-P0006.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Booth_3D_Face_Morphable_CVPR_2017_paper.pdf
CVPR-2017-P0007,CVPR-2017-A000026,Vamsi Kiran Adhikarla,shared,complete_shared_variant,"Saarland University, MMCI","Saarland University, MMCI",2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0007.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Adhikarla_Towards_a_Quality_CVPR_2017_paper.pdf
CVPR-2017-P0007,CVPR-2017-A000027,Marek Vinkler,shared,complete_shared_variant,"Saarland University, MMCI","Saarland University, MMCI",2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0007.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Adhikarla_Towards_a_Quality_CVPR_2017_paper.pdf
CVPR-2017-P0007,CVPR-2017-A000028,Denis Sumin,shared,complete_shared_variant,"Saarland University, MMCI","Saarland University, MMCI",2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0007.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Adhikarla_Towards_a_Quality_CVPR_2017_paper.pdf
CVPR-2017-P0007,CVPR-2017-A000029,Rafal K. Mantiuk,shared,complete_shared_variant,"Saarland University, MMCI","Saarland University, MMCI",2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0007.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Adhikarla_Towards_a_Quality_CVPR_2017_paper.pdf
CVPR-2017-P0007,CVPR-2017-A000030,Karol Myszkowski,shared,complete_shared_variant,"Saarland University, MMCI","Saarland University, MMCI",2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0007.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Adhikarla_Towards_a_Quality_CVPR_2017_paper.pdf
CVPR-2017-P0007,CVPR-2017-A000031,Hans-Peter Seidel,shared,complete_shared_variant,"Saarland University, MMCI","Saarland University, MMCI",2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0007.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Adhikarla_Towards_a_Quality_CVPR_2017_paper.pdf
CVPR-2017-P0007,CVPR-2017-A000032,Piotr Didyk,shared,complete_shared_variant,"Saarland University, MMCI","Saarland University, MMCI",2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0007.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Adhikarla_Towards_a_Quality_CVPR_2017_paper.pdf
CVPR-2017-P0008,CVPR-2017-A000033,Manikanta Kotaru,stacked,complete_stacked_variant,Stanford University,Stanford University,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0008.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Kotaru_Position_Tracking_for_CVPR_2017_paper.pdf
CVPR-2017-P0008,CVPR-2017-A000034,Sachin Katti,stacked,complete_stacked_variant,Stanford University,Stanford University,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0008.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Kotaru_Position_Tracking_for_CVPR_2017_paper.pdf
CVPR-2017-P0009,CVPR-2017-A000035,Kenichiro Tanaka,shared,complete_shared_variant,Nara Institute of Science and Technology (NAIST),Nara Institute of Science and Technology (NAIST),2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0009.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Tanaka_Material_Classification_Using_CVPR_2017_paper.pdf
CVPR-2017-P0009,CVPR-2017-A000036,Yasuhiro Mukaigawa,shared,complete_shared_variant,Nara Institute of Science and Technology (NAIST),Nara Institute of Science and Technology (NAIST),2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0009.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Tanaka_Material_Classification_Using_CVPR_2017_paper.pdf
CVPR-2017-P0009,CVPR-2017-A000037,Takuya Funatomi,shared,complete_shared_variant,Nara Institute of Science and Technology (NAIST),Nara Institute of Science and Technology (NAIST),2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0009.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Tanaka_Material_Classification_Using_CVPR_2017_paper.pdf
CVPR-2017-P0009,CVPR-2017-A000038,Hiroyuki Kubo,shared,complete_shared_variant,Nara Institute of Science and Technology (NAIST),Nara Institute of Science and Technology (NAIST),2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0009.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Tanaka_Material_Classification_Using_CVPR_2017_paper.pdf
CVPR-2017-P0009,CVPR-2017-A000039,Yasuyuki Matsushita,shared,complete_shared_variant,Nara Institute of Science and Technology (NAIST),Nara Institute of Science and Technology (NAIST),2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0009.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Tanaka_Material_Classification_Using_CVPR_2017_paper.pdf
CVPR-2017-P0009,CVPR-2017-A000040,Yasushi Yagi,shared,complete_shared_variant,Nara Institute of Science and Technology (NAIST),Nara Institute of Science and Technology (NAIST),2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0009.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Tanaka_Material_Classification_Using_CVPR_2017_paper.pdf
CVPR-2017-P0010,CVPR-2017-A000041,Philip Haeusser,shared,complete_shared_variant,"Dept. of Informatics, TU Munich","Dept. of Informatics, TU Munich",2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0010.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Haeusser_Learning_by_Association_CVPR_2017_paper.pdf
CVPR-2017-P0010,CVPR-2017-A000042,Alexander Mordvintsev,shared,complete_shared_variant,"Dept. of Informatics, TU Munich","Dept. of Informatics, TU Munich",2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0010.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Haeusser_Learning_by_Association_CVPR_2017_paper.pdf
CVPR-2017-P0010,CVPR-2017-A000043,Daniel Cremers,shared,complete_shared_variant,"Dept. of Informatics, TU Munich","Dept. of Informatics, TU Munich",2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0010.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Haeusser_Learning_by_Association_CVPR_2017_paper.pdf
CVPR-2017-P0011,CVPR-2017-A000044,Yvain Queau,symbol,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/cvpr/2017/first_pages/CVPR-2017-P0011.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Queau_A_Non-Convex_Variational_CVPR_2017_paper.pdf
CVPR-2017-P0011,CVPR-2017-A000045,Tao Wu,symbol,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/cvpr/2017/first_pages/CVPR-2017-P0011.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Queau_A_Non-Convex_Variational_CVPR_2017_paper.pdf
CVPR-2017-P0011,CVPR-2017-A000046,Francois Lauze,symbol,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/cvpr/2017/first_pages/CVPR-2017-P0011.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Queau_A_Non-Convex_Variational_CVPR_2017_paper.pdf
