author_id,author_name,institution,country,conference,year
ICCV-2019-A004150,Xiankai Lu,"Inception Institute of Artificial Intelligence, UAE Indiana University, USA",United States,ICCV,2019
ICCV-2019-A004151,Jianbing Shen,"Inception Institute of Artificial Intelligence, UAE Indiana University, USA",United States,ICCV,2019
ICCV-2019-A004152,David J. Crandall,"Inception Institute of Artificial Intelligence, UAE Indiana University, USA",United States,ICCV,2019
ICCV-2019-A004153,Ling Shao,"Inception Institute of Artificial Intelligence, UAE Indiana University, USA",United States,ICCV,2019
ICCV-2019-A004154,Xingyu Liu,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004155,Mengyuan Yan,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004156,Jeannette Bohg,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004157,Jean Lahoud,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004158,Bernard Ghanem,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004159,Marc Pollefeys,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004160,Martin R. Oswald,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004161,Guohao Li,"Visual Computing Center, KAUST, Thuwal, Saudi Arabia",Saudi Arabia,ICCV,2019
ICCV-2019-A004162,Matthias Muller,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004163,Ali Thabet,"Visual Computing Center, KAUST, Thuwal, Saudi Arabia",Saudi Arabia,ICCV,2019
ICCV-2019-A004164,Bernard Ghanem,"Visual Computing Center, KAUST, Thuwal, Saudi Arabia",Saudi Arabia,ICCV,2019
ICCV-2019-A004165,Charles R. Qi,Facebook AI Research,United States,ICCV,2019
ICCV-2019-A004166,Or Litany,Facebook AI Research,United States,ICCV,2019
ICCV-2019-A004167,Kaiming He,Facebook AI Research,United States,ICCV,2019
ICCV-2019-A004168,Leonidas J. Guibas,Facebook AI Research,United States,ICCV,2019
ICCV-2019-A004169,Garrick Brazil,"Michigan State University, East Lansing MI",United States,ICCV,2019
ICCV-2019-A004170,Xiaoming Liu,"Michigan State University, East Lansing MI",United States,ICCV,2019
ICCV-2019-A004171,Jens Behley,"University of Bonn, Germany",Germany,ICCV,2019
ICCV-2019-A004172,Martin Garbade,"University of Bonn, Germany",Germany,ICCV,2019
ICCV-2019-A004173,Andres Milioto,"University of Bonn, Germany",Germany,ICCV,2019
ICCV-2019-A004174,Jan Quenzel,"University of Bonn, Germany",Germany,ICCV,2019
ICCV-2019-A004175,Sven Behnke,"University of Bonn, Germany",Germany,ICCV,2019
ICCV-2019-A004176,Cyrill Stachniss,"University of Bonn, Germany",Germany,ICCV,2019
ICCV-2019-A004177,Jurgen Gall,"University of Bonn, Germany",Germany,ICCV,2019
ICCV-2019-A004178,Senthil Yogamani,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004179,Ciaran Hughes,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004180,Jonathan Horgan,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004181,Ganesh Sistu,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004182,Padraig Varley,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004183,Derek O'Dea,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004184,Michal Uricar,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004185,Stefan Milz,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004186,Martin Simon,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004187,Karl Amende,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004188,Christian Witt,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004189,Hazem Rashed,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004190,Sumanth Chennupati,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004191,Sanjaya Nayak,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004192,Saquib Mansoor,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004193,Xavier Perrotton,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004194,Patrick Perez,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004195,Anh-Dzung Doan,"School of Computer Science, The University of Adelaide",Australia,ICCV,2019
ICCV-2019-A004196,Yasir Latif,"School of Computer Science, The University of Adelaide",Australia,ICCV,2019
ICCV-2019-A004197,Tat-Jun Chin,"School of Computer Science, The University of Adelaide",Australia,ICCV,2019
ICCV-2019-A004198,Yu Liu,"School of Computer Science, The University of Adelaide",Australia,ICCV,2019
ICCV-2019-A004199,Thanh-Toan Do,"Department of Computer Science, University of Liverpool",United Kingdom,ICCV,2019
ICCV-2019-A004200,Ian Reid,"School of Computer Science, The University of Adelaide",Australia,ICCV,2019
ICCV-2019-A004201,Felipe Codevilla,"Computer Vision Center (CVC) Campus UAB, Barcelona, Spain",Spain,ICCV,2019
ICCV-2019-A004202,Eder Santana,"Toyota Research Institute (TRI) Los Altos, CA, USA.",United States,ICCV,2019
ICCV-2019-A004203,Antonio M. Lopez,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004204,Adrien Gaidon,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004205,Manolis Savva,Facebook AI Research | Simon Fraser University,Canada,ICCV,2019
ICCV-2019-A004206,Abhishek Kadian,Facebook AI Research,United States,ICCV,2019
ICCV-2019-A004207,Oleksandr Maksymets,Facebook AI Research,United States,ICCV,2019
ICCV-2019-A004208,Yili Zhao,Facebook AI Research,United States,ICCV,2019
ICCV-2019-A004209,Erik Wijmans,Facebook AI Research | Facebook Reality Labs | Georgia Institute of Technology,UNKNOWN,ICCV,2019
ICCV-2019-A004210,Bhavana Jain,Facebook AI Research,United States,ICCV,2019
