author_id,author_name,country,institution,conference,year,source_url,source_note
AAAI-2020-A000001,Chenglei Wu,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/14003-a-spherical-convolution-approach-for-learning-long-term-viewport-prediction-in-360-immersive-video/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000002,Ruixiao Zhang,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/14003-a-spherical-convolution-approach-for-learning-long-term-viewport-prediction-in-360-immersive-video/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000003,Zhi Wang,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/14003-a-spherical-convolution-approach-for-learning-long-term-viewport-prediction-in-360-immersive-video/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000004,Lifeng Sun,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/14003-a-spherical-convolution-approach-for-learning-long-term-viewport-prediction-in-360-immersive-video/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000005,Xiaoling Zhou,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00329-a-recurrent-model-for-collective-entity-linking-with-adaptive-features/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000006,Yukai Miao,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00329-a-recurrent-model-for-collective-entity-linking-with-adaptive-features/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000007,Wei Wang,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00329-a-recurrent-model-for-collective-entity-linking-with-adaptive-features/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000008,Jianbin Qin,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00329-a-recurrent-model-for-collective-entity-linking-with-adaptive-features/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000009,Mengyu Zhou,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00320-table2analysis-modeling-and-recommendation-of-common-analysis-patterns-for-multi-dimensional-data/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000010,Wang Tao,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00320-table2analysis-modeling-and-recommendation-of-common-analysis-patterns-for-multi-dimensional-data/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000011,Ji Pengxin,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00320-table2analysis-modeling-and-recommendation-of-common-analysis-patterns-for-multi-dimensional-data/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000012,Han Shi,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00320-table2analysis-modeling-and-recommendation-of-common-analysis-patterns-for-multi-dimensional-data/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000013,Zhang Dongmei,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00320-table2analysis-modeling-and-recommendation-of-common-analysis-patterns-for-multi-dimensional-data/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000014,Lei Zhang,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00312-multi-channel-reverse-dictionary-model/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000015,Fanchao Qi,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00312-multi-channel-reverse-dictionary-model/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000016,Zhiyuan Liu,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00312-multi-channel-reverse-dictionary-model/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000017,Yasheng Wang,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00312-multi-channel-reverse-dictionary-model/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000018,Qun Liu,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00312-multi-channel-reverse-dictionary-model/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2020-A000019,Maosong Sun,UNKNOWN,UNKNOWN,AAAI,2020,https://aaai.org/papers/00312-multi-channel-reverse-dictionary-model/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
