paper_id,title,author_ids,conference,year,source_url
AAAI-2016-P0665,Hospital Stockpiling Problems with Inventory Sharing,AAAI-2016-A002362|AAAI-2016-A002363,AAAI,2016,https://aaai.org/papers/10008-hospital-stockpiling-problems-with-inventory-sharing/
AAAI-2016-P0666,Egocentric Video Search via Physical Interactions,AAAI-2016-A002364|AAAI-2016-A002365|AAAI-2016-A002366|AAAI-2016-A002367|AAAI-2016-A002368|AAAI-2016-A002369,AAAI,2016,https://aaai.org/papers/10009-egocentric-video-search-via-physical-interactions/
AAAI-2016-P0667,"Learning the Preferences of Ignorant, Inconsistent Agents",AAAI-2016-A002370|AAAI-2016-A002371|AAAI-2016-A002372,AAAI,2016,https://aaai.org/papers/10010-learning-the-preferences-of-ignorant-inconsistent-agents/
AAAI-2016-P0668,Learning Deep Representation from Big and Heterogeneous Data for Traffic Accident Inference,AAAI-2016-A002373|AAAI-2016-A002374|AAAI-2016-A002375|AAAI-2016-A002376,AAAI,2016,https://aaai.org/papers/10011-learning-deep-representation-from-big-and-heterogeneous-data-for-traffic-accident-inference/
AAAI-2016-P0669,Autonomous Electricity Trading Using Time-of-Use Tariffs in a Competitive Market,AAAI-2016-A002377|AAAI-2016-A002378,AAAI,2016,https://aaai.org/papers/10012-autonomous-electricity-trading-using-time-of-use-tariffs-in-a-competitive-market/
AAAI-2016-P0670,Reuse of Neural Modules for General Video Game Playing,AAAI-2016-A002379|AAAI-2016-A002380|AAAI-2016-A002381|AAAI-2016-A002382,AAAI,2016,https://aaai.org/papers/10014-reuse-of-neural-modules-for-general-video-game-playing/
AAAI-2016-P0671,Poker-CNN: A Pattern Learning Strategy for Making Draws and Bets in Poker Games Using Convolutional Networks,AAAI-2016-A002383|AAAI-2016-A002384|AAAI-2016-A002385|AAAI-2016-A002386,AAAI,2016,https://aaai.org/papers/10013-poker-cnn-a-pattern-learning-strategy-for-making-draws-and-bets-in-poker-games-using-convolutional-networks/
AAAI-2016-P0672,Computing Rational Decisions In Extensive Games With Limited Foresight,AAAI-2016-A002387,AAAI,2016,https://aaai.org/papers/10015-computing-rational-decisions-in-extensive-games-with-limited-foresight/
AAAI-2016-P0673,Optimizing Trading Assignments in Water Right Markets,AAAI-2016-A002388|AAAI-2016-A002389|AAAI-2016-A002390|AAAI-2016-A002391,AAAI,2016,https://aaai.org/papers/10016-optimizing-trading-assignments-in-water-right-markets/
AAAI-2016-P0674,Optimal Aggregation of Uncertain Preferences,AAAI-2016-A002392|AAAI-2016-A002393,AAAI,2016,https://aaai.org/papers/10017-optimal-aggregation-of-uncertain-preferences/
AAAI-2016-P0675,Judgment Aggregation under Issue Dependencies,AAAI-2016-A002394|AAAI-2016-A002395|AAAI-2016-A002396,AAAI,2016,https://aaai.org/papers/10018-judgment-aggregation-under-issue-dependencies/
AAAI-2016-P0676,Assignment and Pricing in Roommate Market,AAAI-2016-A002397|AAAI-2016-A002398|AAAI-2016-A002399|AAAI-2016-A002400|AAAI-2016-A002401,AAAI,2016,https://aaai.org/papers/10019-assignment-and-pricing-in-roommate-market/
