paper_id,author_id,author_name,selected_variant,selection_reason,institution_raw,institution_normalized,candidate_score,first_page_text_path,source_url
AAAI-2021-P0002,AAAI-2021-A000012,Yefeng Zheng,numbered,complete_numbered_variant,"Tencent Jarvis Lab, Shenzhen, China","Tencent Jarvis Lab, Shenzhen, China",4,data/raw/aaai/2021/first_pages/AAAI-2021-P0002.txt,https://cdn.aaai.org/ojs/16143/16143-13-19637-1-2-20210518.pdf
AAAI-2021-P0003,AAAI-2021-A000013,Zhicheng Wang,numbered,complete_numbered_variant,"Department of Computer Science and Engineering, Shanghai Jiao Tong University | Centre for Cognitive Machines and Computational Health (CMaCH), Shanghai Jiao Tong University","Department of Computer Science and Engineering, Shanghai Jiao Tong University | Centre for Cognitive Machines and Computational Health (CMaCH), Shanghai Jiao Tong University",7,data/raw/aaai/2021/first_pages/AAAI-2021-P0003.txt,https://cdn.aaai.org/ojs/16144/16144-13-19638-1-2-20210518.pdf
AAAI-2021-P0003,AAAI-2021-A000014,Biwei Huang,numbered,complete_numbered_variant,"Department of Philosophy, Carnegie Mellon University","Department of Philosophy, Carnegie Mellon University",6,data/raw/aaai/2021/first_pages/AAAI-2021-P0003.txt,https://cdn.aaai.org/ojs/16144/16144-13-19638-1-2-20210518.pdf
AAAI-2021-P0003,AAAI-2021-A000015,Shikui Tu,numbered,complete_numbered_variant,"Department of Computer Science and Engineering, Shanghai Jiao Tong University | Centre for Cognitive Machines and Computational Health (CMaCH), Shanghai Jiao Tong University","Department of Computer Science and Engineering, Shanghai Jiao Tong University | Centre for Cognitive Machines and Computational Health (CMaCH), Shanghai Jiao Tong University",7,data/raw/aaai/2021/first_pages/AAAI-2021-P0003.txt,https://cdn.aaai.org/ojs/16144/16144-13-19638-1-2-20210518.pdf
AAAI-2021-P0003,AAAI-2021-A000016,Kun Zhang,numbered,complete_numbered_variant,"Department of Philosophy, Carnegie Mellon University","Department of Philosophy, Carnegie Mellon University",6,data/raw/aaai/2021/first_pages/AAAI-2021-P0003.txt,https://cdn.aaai.org/ojs/16144/16144-13-19638-1-2-20210518.pdf
AAAI-2021-P0003,AAAI-2021-A000017,Lei Xu,numbered,complete_numbered_variant,"Department of Computer Science and Engineering, Shanghai Jiao Tong University | Centre for Cognitive Machines and Computational Health (CMaCH), Shanghai Jiao Tong University","Department of Computer Science and Engineering, Shanghai Jiao Tong University | Centre for Cognitive Machines and Computational Health (CMaCH), Shanghai Jiao Tong University",7,data/raw/aaai/2021/first_pages/AAAI-2021-P0003.txt,https://cdn.aaai.org/ojs/16144/16144-13-19638-1-2-20210518.pdf
AAAI-2021-P0004,AAAI-2021-A000018,Yinjun Wu,numbered,best_scoring_candidate,University of Pennsylvania,University of Pennsylvania,2,data/raw/aaai/2021/first_pages/AAAI-2021-P0004.txt,https://cdn.aaai.org/ojs/16145/16145-13-19639-1-2-20210518.pdf
AAAI-2021-P0004,AAAI-2021-A000019,Jingchao Ni,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/aaai/2021/first_pages/AAAI-2021-P0004.txt,https://cdn.aaai.org/ojs/16145/16145-13-19639-1-2-20210518.pdf
AAAI-2021-P0004,AAAI-2021-A000020,Wei Cheng,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/aaai/2021/first_pages/AAAI-2021-P0004.txt,https://cdn.aaai.org/ojs/16145/16145-13-19639-1-2-20210518.pdf
AAAI-2021-P0004,AAAI-2021-A000021,Bo Zong,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/aaai/2021/first_pages/AAAI-2021-P0004.txt,https://cdn.aaai.org/ojs/16145/16145-13-19639-1-2-20210518.pdf
AAAI-2021-P0004,AAAI-2021-A000022,Dongjin Song,numbered,best_scoring_candidate,University of Connecticut,University of Connecticut,2,data/raw/aaai/2021/first_pages/AAAI-2021-P0004.txt,https://cdn.aaai.org/ojs/16145/16145-13-19639-1-2-20210518.pdf
AAAI-2021-P0004,AAAI-2021-A000023,Zhengzhang Chen,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/aaai/2021/first_pages/AAAI-2021-P0004.txt,https://cdn.aaai.org/ojs/16145/16145-13-19639-1-2-20210518.pdf
AAAI-2021-P0004,AAAI-2021-A000024,Yanchi Liu,stacked,best_scoring_candidate,University of Pennsylvania NEC Laboratories America University of Connecticut,University of Pennsylvania NEC Laboratories America University of Connecticut,4,data/raw/aaai/2021/first_pages/AAAI-2021-P0004.txt,https://cdn.aaai.org/ojs/16145/16145-13-19639-1-2-20210518.pdf
AAAI-2021-P0004,AAAI-2021-A000025,Xuchao Zhang,stacked,best_scoring_candidate,University of Pennsylvania NEC Laboratories America University of Connecticut,University of Pennsylvania NEC Laboratories America University of Connecticut,4,data/raw/aaai/2021/first_pages/AAAI-2021-P0004.txt,https://cdn.aaai.org/ojs/16145/16145-13-19639-1-2-20210518.pdf
AAAI-2021-P0004,AAAI-2021-A000026,Haifeng Chen,stacked,best_scoring_candidate,University of Pennsylvania NEC Laboratories America University of Connecticut,University of Pennsylvania NEC Laboratories America University of Connecticut,4,data/raw/aaai/2021/first_pages/AAAI-2021-P0004.txt,https://cdn.aaai.org/ojs/16145/16145-13-19639-1-2-20210518.pdf
AAAI-2021-P0004,AAAI-2021-A000027,Susan B Davidson,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/aaai/2021/first_pages/AAAI-2021-P0004.txt,https://cdn.aaai.org/ojs/16145/16145-13-19639-1-2-20210518.pdf
AAAI-2021-P0005,AAAI-2021-A000028,Hengrui Xing,stacked,complete_stacked_variant,"Department of Computer Science, Columbia University, New York, USA","Department of Computer Science, Columbia University, New York, USA",6,data/raw/aaai/2021/first_pages/AAAI-2021-P0005.txt,https://cdn.aaai.org/ojs/16146/16146-13-19640-1-2-20210518.pdf
AAAI-2021-P0005,AAAI-2021-A000029,Ansaf Salleb-Aouissi,stacked,complete_stacked_variant,"Department of Computer Science, Columbia University, New York, USA","Department of Computer Science, Columbia University, New York, USA",6,data/raw/aaai/2021/first_pages/AAAI-2021-P0005.txt,https://cdn.aaai.org/ojs/16146/16146-13-19640-1-2-20210518.pdf
AAAI-2021-P0005,AAAI-2021-A000030,Nakul Verma,stacked,complete_stacked_variant,"Department of Computer Science, Columbia University, New York, USA","Department of Computer Science, Columbia University, New York, USA",6,data/raw/aaai/2021/first_pages/AAAI-2021-P0005.txt,https://cdn.aaai.org/ojs/16146/16146-13-19640-1-2-20210518.pdf
AAAI-2021-P0006,AAAI-2021-A000031,Bingyu Xu,numbered,complete_numbered_variant,Peng Cheng Laboratory,Peng Cheng Laboratory,4,data/raw/aaai/2021/first_pages/AAAI-2021-P0006.txt,https://cdn.aaai.org/ojs/16147/16147-13-19641-1-2-20210518.pdf
AAAI-2021-P0006,AAAI-2021-A000032,Yaowei Wang,numbered,complete_numbered_variant,Peng Cheng Laboratory,Peng Cheng Laboratory,4,data/raw/aaai/2021/first_pages/AAAI-2021-P0006.txt,https://cdn.aaai.org/ojs/16147/16147-13-19641-1-2-20210518.pdf
AAAI-2021-P0006,AAAI-2021-A000033,Zhaozhi Wang,numbered,complete_numbered_variant,Peking University,Peking University,2,data/raw/aaai/2021/first_pages/AAAI-2021-P0006.txt,https://cdn.aaai.org/ojs/16147/16147-13-19641-1-2-20210518.pdf
AAAI-2021-P0006,AAAI-2021-A000034,Huizhu Jia,numbered,complete_numbered_variant,Peking University,Peking University,2,data/raw/aaai/2021/first_pages/AAAI-2021-P0006.txt,https://cdn.aaai.org/ojs/16147/16147-13-19641-1-2-20210518.pdf
AAAI-2021-P0006,AAAI-2021-A000035,Zongqing Lu,numbered,complete_numbered_variant,Peking University,Peking University,2,data/raw/aaai/2021/first_pages/AAAI-2021-P0006.txt,https://cdn.aaai.org/ojs/16147/16147-13-19641-1-2-20210518.pdf
