author_id,author_name,institution,country,conference,year
AAAI-2021-A004079,Yuge Huang,"School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China. Youtu Lab, Tencent",China,AAAI,2021
AAAI-2021-A004080,Pengcheng Shen,"School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China. Youtu Lab, Tencent",China,AAAI,2021
AAAI-2021-A004081,Shaoxin Li,"School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China. Youtu Lab, Tencent",China,AAAI,2021
AAAI-2021-A004082,Jian Yang,"School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China. Youtu Lab, Tencent",China,AAAI,2021
AAAI-2021-A004083,Ji Gan,"School of Computer Science and Technology, University of Chinese Academy of Sciences",China,AAAI,2021
AAAI-2021-A004084,Weiqiang Wang,"School of Computer Science and Technology, University of Chinese Academy of Sciences",China,AAAI,2021
AAAI-2021-A004085,Ting Gan,"School of Computer Science, Wuhan University, China College of Computer Science and Technology, Zhejiang University, China",China,AAAI,2021
AAAI-2021-A004086,Keqi Han,"School of Computer Science, Wuhan University, China College of Computer Science and Technology, Zhejiang University, China",China,AAAI,2021
AAAI-2021-A004087,Hao Huang,"School of Computer Science, Wuhan University, China College of Computer Science and Technology, Zhejiang University, China",China,AAAI,2021
AAAI-2021-A004088,Shi Ying,"School of Computer Science, Wuhan University, China College of Computer Science and Technology, Zhejiang University, China",China,AAAI,2021
AAAI-2021-A004089,Yunjun Gao,"School of Computer Science, Wuhan University, China College of Computer Science and Technology, Zhejiang University, China",China,AAAI,2021
AAAI-2021-A004090,Zongpeng Li,"School of Computer Science, Wuhan University, China College of Computer Science and Technology, Zhejiang University, China",China,AAAI,2021
AAAI-2021-A004091,Yaozhong Gan,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics MIIT Key Laboratory of Pattern Analysis and Machine Intelligence",UNKNOWN,AAAI,2021
AAAI-2021-A004092,Zhe Zhang,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics MIIT Key Laboratory of Pattern Analysis and Machine Intelligence",UNKNOWN,AAAI,2021
AAAI-2021-A004093,Xiaoyang Tan,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics MIIT Key Laboratory of Pattern Analysis and Machine Intelligence",UNKNOWN,AAAI,2021
AAAI-2021-A004094,Hongchang Gao,"Department of Computer and Information Sciences, Temple University, PA, USA",United States,AAAI,2021
AAAI-2021-A004095,An Xu,"Department of Electrical and Computer Engineering, University of Pittsburgh, PA, USA",United States,AAAI,2021
AAAI-2021-A004096,Heng Huang,"Department of Electrical and Computer Engineering, University of Pittsburgh, PA, USA | JD Finance America Corporation, Mountain View, CA, USA",United States,AAAI,2021
AAAI-2021-A004097,Kaixin Gao,"School of Mathematics, Tianjin University, China Central Software Institute, Huawei Technologies Co. Ltd, China Department of Operations Research and Information Engineering, Beijing University of Technology, China",China,AAAI,2021
AAAI-2021-A004098,Xiaolei Liu,"School of Mathematics, Tianjin University, China Central Software Institute, Huawei Technologies Co. Ltd, China Department of Operations Research and Information Engineering, Beijing University of Technology, China",China,AAAI,2021
AAAI-2021-A004099,Zhenghai Huang,"School of Mathematics, Tianjin University, China Central Software Institute, Huawei Technologies Co. Ltd, China Department of Operations Research and Information Engineering, Beijing University of Technology, China",China,AAAI,2021
AAAI-2021-A004100,Min Wang,"School of Mathematics, Tianjin University, China Central Software Institute, Huawei Technologies Co. Ltd, China Department of Operations Research and Information Engineering, Beijing University of Technology, China",China,AAAI,2021
AAAI-2021-A004101,Zidong Wang,"School of Mathematics, Tianjin University, China Central Software Institute, Huawei Technologies Co. Ltd, China Department of Operations Research and Information Engineering, Beijing University of Technology, China",China,AAAI,2021
AAAI-2021-A004102,Dachuan Xu,"School of Mathematics, Tianjin University, China Central Software Institute, Huawei Technologies Co. Ltd, China Department of Operations Research and Information Engineering, Beijing University of Technology, China",China,AAAI,2021
AAAI-2021-A004103,Fan Yu,"School of Mathematics, Tianjin University, China Central Software Institute, Huawei Technologies Co. Ltd, China Department of Operations Research and Information Engineering, Beijing University of Technology, China",China,AAAI,2021
