paper_id,title,author_ids,conference,year,source_url
NEURIPS-2020-P0019,Reciprocal Adversarial Learning via Characteristic Functions,NEURIPS-2020-A000080|NEURIPS-2020-A000081|NEURIPS-2020-A000082|NEURIPS-2020-A000083,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/021f6dd88a11ca489936ae770e4634ad-Abstract.html
NEURIPS-2020-P0020,Statistical Guarantees of Distributed Nearest Neighbor Classification,NEURIPS-2020-A000084|NEURIPS-2020-A000085|NEURIPS-2020-A000086,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/022e0ee5162c13d9a7bb3bd00fb032ce-Abstract.html
NEURIPS-2020-P0021,Stein Self-Repulsive Dynamics: Benefits From Past Samples,NEURIPS-2020-A000087|NEURIPS-2020-A000088|NEURIPS-2020-A000089,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/023d0a5671efd29e80b4deef8262e297-Abstract.html
NEURIPS-2020-P0022,The Statistical Complexity of Early-Stopped Mirror Descent,NEURIPS-2020-A000090|NEURIPS-2020-A000091|NEURIPS-2020-A000092,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/024d2d699e6c1a82c9ba986386f4d824-Abstract.html
NEURIPS-2020-P0023,Algorithmic recourse under imperfect causal knowledge: a probabilistic approach,NEURIPS-2020-A000093|NEURIPS-2020-A000094|NEURIPS-2020-A000095|NEURIPS-2020-A000096,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/02a3c7fb3f489288ae6942498498db20-Abstract.html
NEURIPS-2020-P0024,Quantitative Propagation of Chaos for SGD in Wide Neural Networks,NEURIPS-2020-A000097|NEURIPS-2020-A000098|NEURIPS-2020-A000099|NEURIPS-2020-A000100,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/02e74f10e0327ad868d138f2b4fdd6f0-Abstract.html
NEURIPS-2020-P0025,A Causal View on Robustness of Neural Networks,NEURIPS-2020-A000101|NEURIPS-2020-A000102|NEURIPS-2020-A000103,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/02ed812220b0705fabb868ddbf17ea20-Abstract.html
NEURIPS-2020-P0026,Minimax Classification with 0-1 Loss and Performance Guarantees,NEURIPS-2020-A000104|NEURIPS-2020-A000105|NEURIPS-2020-A000106,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/02f657d55eaf1c4840ce8d66fcdaf90c-Abstract.html
NEURIPS-2020-P0027,How to Learn a Useful Critic? Model-based Action-Gradient-Estimator Policy Optimization,NEURIPS-2020-A000107|NEURIPS-2020-A000108,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/03255088ed63354a54e0e5ed957e9008-Abstract.html
NEURIPS-2020-P0028,Coresets for Regressions with Panel Data,NEURIPS-2020-A000109|NEURIPS-2020-A000110|NEURIPS-2020-A000111,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/03287fcce194dbd958c2ec5b33705912-Abstract.html
NEURIPS-2020-P0029,Learning Composable Energy Surrogates for PDE Order Reduction,NEURIPS-2020-A000112|NEURIPS-2020-A000113|NEURIPS-2020-A000114|NEURIPS-2020-A000115|NEURIPS-2020-A000116,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/0332d694daab22e0e0eaf7a5e88433f9-Abstract.html
