paper_id,author_id,author_position
AAAI-2017-P0035,AAAI-2017-A000123,1
AAAI-2017-P0035,AAAI-2017-A000124,2
AAAI-2017-P0035,AAAI-2017-A000125,3
AAAI-2017-P0035,AAAI-2017-A000126,4
AAAI-2017-P0036,AAAI-2017-A000127,1
AAAI-2017-P0036,AAAI-2017-A000128,2
AAAI-2017-P0036,AAAI-2017-A000129,3
AAAI-2017-P0036,AAAI-2017-A000130,4
AAAI-2017-P0037,AAAI-2017-A000131,1
AAAI-2017-P0037,AAAI-2017-A000132,2
AAAI-2017-P0038,AAAI-2017-A000133,1
AAAI-2017-P0038,AAAI-2017-A000134,2
AAAI-2017-P0038,AAAI-2017-A000135,3
AAAI-2017-P0039,AAAI-2017-A000136,1
AAAI-2017-P0039,AAAI-2017-A000137,2
AAAI-2017-P0040,AAAI-2017-A000138,1
AAAI-2017-P0040,AAAI-2017-A000139,2
AAAI-2017-P0040,AAAI-2017-A000140,3
AAAI-2017-P0041,AAAI-2017-A000141,1
AAAI-2017-P0041,AAAI-2017-A000142,2
AAAI-2017-P0041,AAAI-2017-A000143,3
AAAI-2017-P0042,AAAI-2017-A000144,1
AAAI-2017-P0042,AAAI-2017-A000145,2
AAAI-2017-P0042,AAAI-2017-A000146,3
AAAI-2017-P0042,AAAI-2017-A000147,4
AAAI-2017-P0043,AAAI-2017-A000148,1
AAAI-2017-P0043,AAAI-2017-A000149,2
AAAI-2017-P0043,AAAI-2017-A000150,3
AAAI-2017-P0043,AAAI-2017-A000151,4
AAAI-2017-P0044,AAAI-2017-A000152,1
AAAI-2017-P0044,AAAI-2017-A000153,2
AAAI-2017-P0044,AAAI-2017-A000154,3
AAAI-2017-P0044,AAAI-2017-A000155,4
AAAI-2017-P0044,AAAI-2017-A000156,5
AAAI-2017-P0045,AAAI-2017-A000157,1
AAAI-2017-P0046,AAAI-2017-A000158,1
AAAI-2017-P0046,AAAI-2017-A000159,2
AAAI-2017-P0046,AAAI-2017-A000160,3
AAAI-2017-P0047,AAAI-2017-A000161,1
AAAI-2017-P0047,AAAI-2017-A000162,2
AAAI-2017-P0048,AAAI-2017-A000163,1
AAAI-2017-P0048,AAAI-2017-A000164,2
AAAI-2017-P0049,AAAI-2017-A000165,1
AAAI-2017-P0049,AAAI-2017-A000166,2
AAAI-2017-P0049,AAAI-2017-A000167,3
AAAI-2017-P0049,AAAI-2017-A000168,4
AAAI-2017-P0049,AAAI-2017-A000169,5
AAAI-2017-P0050,AAAI-2017-A000170,1
AAAI-2017-P0050,AAAI-2017-A000171,2
AAAI-2017-P0050,AAAI-2017-A000172,3
AAAI-2017-P0051,AAAI-2017-A000173,1
AAAI-2017-P0051,AAAI-2017-A000174,2
AAAI-2017-P0051,AAAI-2017-A000175,3
AAAI-2017-P0051,AAAI-2017-A000176,4
AAAI-2017-P0051,AAAI-2017-A000177,5
AAAI-2017-P0052,AAAI-2017-A000178,1
AAAI-2017-P0052,AAAI-2017-A000179,2
AAAI-2017-P0052,AAAI-2017-A000180,3
AAAI-2017-P0053,AAAI-2017-A000181,1
AAAI-2017-P0053,AAAI-2017-A000182,2
AAAI-2017-P0053,AAAI-2017-A000183,3
AAAI-2017-P0053,AAAI-2017-A000184,4
AAAI-2017-P0053,AAAI-2017-A000185,5
AAAI-2017-P0053,AAAI-2017-A000186,6
AAAI-2017-P0053,AAAI-2017-A000187,7
AAAI-2017-P0054,AAAI-2017-A000188,1
AAAI-2017-P0054,AAAI-2017-A000189,2
AAAI-2017-P0054,AAAI-2017-A000190,3
AAAI-2017-P0055,AAAI-2017-A000191,1
AAAI-2017-P0055,AAAI-2017-A000192,2
AAAI-2017-P0055,AAAI-2017-A000193,3
AAAI-2017-P0056,AAAI-2017-A000194,1
AAAI-2017-P0056,AAAI-2017-A000195,2
AAAI-2017-P0056,AAAI-2017-A000196,3
AAAI-2017-P0057,AAAI-2017-A000197,1
AAAI-2017-P0057,AAAI-2017-A000198,2
AAAI-2017-P0057,AAAI-2017-A000199,3
AAAI-2017-P0058,AAAI-2017-A000200,1
AAAI-2017-P0058,AAAI-2017-A000201,2
AAAI-2017-P0058,AAAI-2017-A000202,3
AAAI-2017-P0058,AAAI-2017-A000203,4
AAAI-2017-P0058,AAAI-2017-A000204,5
AAAI-2017-P0058,AAAI-2017-A000205,6
AAAI-2017-P0059,AAAI-2017-A000206,1
AAAI-2017-P0059,AAAI-2017-A000207,2
AAAI-2017-P0059,AAAI-2017-A000208,3
AAAI-2017-P0060,AAAI-2017-A000209,1
AAAI-2017-P0060,AAAI-2017-A000210,2
AAAI-2017-P0060,AAAI-2017-A000211,3
AAAI-2017-P0060,AAAI-2017-A000212,4
AAAI-2017-P0061,AAAI-2017-A000213,1
AAAI-2017-P0061,AAAI-2017-A000214,2
AAAI-2017-P0061,AAAI-2017-A000215,3
AAAI-2017-P0061,AAAI-2017-A000216,4
AAAI-2017-P0061,AAAI-2017-A000217,5
AAAI-2017-P0062,AAAI-2017-A000218,1
AAAI-2017-P0062,AAAI-2017-A000219,2
AAAI-2017-P0062,AAAI-2017-A000220,3
AAAI-2017-P0062,AAAI-2017-A000221,4
AAAI-2017-P0062,AAAI-2017-A000222,5
AAAI-2017-P0062,AAAI-2017-A000223,6
AAAI-2017-P0063,AAAI-2017-A000224,1
AAAI-2017-P0063,AAAI-2017-A000225,2
AAAI-2017-P0064,AAAI-2017-A000226,1
AAAI-2017-P0064,AAAI-2017-A000227,2
AAAI-2017-P0064,AAAI-2017-A000228,3
AAAI-2017-P0065,AAAI-2017-A000229,1
AAAI-2017-P0065,AAAI-2017-A000230,2
AAAI-2017-P0065,AAAI-2017-A000231,3
AAAI-2017-P0065,AAAI-2017-A000232,4
AAAI-2017-P0066,AAAI-2017-A000233,1
AAAI-2017-P0066,AAAI-2017-A000234,2
AAAI-2017-P0066,AAAI-2017-A000235,3
AAAI-2017-P0067,AAAI-2017-A000236,1
AAAI-2017-P0067,AAAI-2017-A000237,2
AAAI-2017-P0067,AAAI-2017-A000238,3
AAAI-2017-P0067,AAAI-2017-A000239,4
AAAI-2017-P0067,AAAI-2017-A000240,5
AAAI-2017-P0068,AAAI-2017-A000241,1
AAAI-2017-P0068,AAAI-2017-A000242,2
AAAI-2017-P0068,AAAI-2017-A000243,3
AAAI-2017-P0068,AAAI-2017-A000244,4
AAAI-2017-P0069,AAAI-2017-A000245,1
AAAI-2017-P0069,AAAI-2017-A000246,2
AAAI-2017-P0070,AAAI-2017-A000247,1
AAAI-2017-P0070,AAAI-2017-A000248,2
AAAI-2017-P0070,AAAI-2017-A000249,3
AAAI-2017-P0070,AAAI-2017-A000250,4
AAAI-2017-P0071,AAAI-2017-A000251,1
AAAI-2017-P0071,AAAI-2017-A000252,2
AAAI-2017-P0071,AAAI-2017-A000253,3
AAAI-2017-P0072,AAAI-2017-A000254,1
AAAI-2017-P0072,AAAI-2017-A000255,2
AAAI-2017-P0072,AAAI-2017-A000256,3
AAAI-2017-P0073,AAAI-2017-A000257,1
AAAI-2017-P0073,AAAI-2017-A000258,2
AAAI-2017-P0074,AAAI-2017-A000259,1
AAAI-2017-P0074,AAAI-2017-A000260,2
AAAI-2017-P0075,AAAI-2017-A000261,1
AAAI-2017-P0075,AAAI-2017-A000262,2
AAAI-2017-P0075,AAAI-2017-A000263,3
AAAI-2017-P0075,AAAI-2017-A000264,4
AAAI-2017-P0075,AAAI-2017-A000265,5
AAAI-2017-P0075,AAAI-2017-A000266,6
AAAI-2017-P0075,AAAI-2017-A000267,7
AAAI-2017-P0076,AAAI-2017-A000268,1
AAAI-2017-P0076,AAAI-2017-A000269,2
AAAI-2017-P0076,AAAI-2017-A000270,3
AAAI-2017-P0077,AAAI-2017-A000271,1
AAAI-2017-P0077,AAAI-2017-A000272,2
AAAI-2017-P0077,AAAI-2017-A000273,3
AAAI-2017-P0077,AAAI-2017-A000274,4
AAAI-2017-P0078,AAAI-2017-A000275,1
AAAI-2017-P0078,AAAI-2017-A000276,2
AAAI-2017-P0078,AAAI-2017-A000277,3
AAAI-2017-P0078,AAAI-2017-A000278,4
AAAI-2017-P0078,AAAI-2017-A000279,5
AAAI-2017-P0079,AAAI-2017-A000280,1
AAAI-2017-P0079,AAAI-2017-A000281,2
AAAI-2017-P0079,AAAI-2017-A000282,3
AAAI-2017-P0080,AAAI-2017-A000283,1
AAAI-2017-P0080,AAAI-2017-A000284,2
AAAI-2017-P0080,AAAI-2017-A000285,3
AAAI-2017-P0081,AAAI-2017-A000286,1
AAAI-2017-P0081,AAAI-2017-A000287,2
AAAI-2017-P0081,AAAI-2017-A000288,3
AAAI-2017-P0082,AAAI-2017-A000289,1
AAAI-2017-P0082,AAAI-2017-A000290,2
AAAI-2017-P0082,AAAI-2017-A000291,3
AAAI-2017-P0082,AAAI-2017-A000292,4
AAAI-2017-P0083,AAAI-2017-A000293,1
AAAI-2017-P0083,AAAI-2017-A000294,2
AAAI-2017-P0083,AAAI-2017-A000295,3
AAAI-2017-P0084,AAAI-2017-A000296,1
AAAI-2017-P0084,AAAI-2017-A000297,2
AAAI-2017-P0084,AAAI-2017-A000298,3
AAAI-2017-P0084,AAAI-2017-A000299,4
AAAI-2017-P0084,AAAI-2017-A000300,5
AAAI-2017-P0084,AAAI-2017-A000301,6
AAAI-2017-P0085,AAAI-2017-A000302,1
AAAI-2017-P0085,AAAI-2017-A000303,2
AAAI-2017-P0085,AAAI-2017-A000304,3
AAAI-2017-P0086,AAAI-2017-A000305,1
AAAI-2017-P0086,AAAI-2017-A000306,2
AAAI-2017-P0086,AAAI-2017-A000307,3
AAAI-2017-P0087,AAAI-2017-A000308,1
AAAI-2017-P0087,AAAI-2017-A000309,2
AAAI-2017-P0088,AAAI-2017-A000310,1
AAAI-2017-P0088,AAAI-2017-A000311,2
AAAI-2017-P0088,AAAI-2017-A000312,3
AAAI-2017-P0088,AAAI-2017-A000313,4
AAAI-2017-P0088,AAAI-2017-A000314,5
AAAI-2017-P0089,AAAI-2017-A000315,1
AAAI-2017-P0089,AAAI-2017-A000316,2
AAAI-2017-P0090,AAAI-2017-A000317,1
AAAI-2017-P0090,AAAI-2017-A000318,2
AAAI-2017-P0090,AAAI-2017-A000319,3
AAAI-2017-P0090,AAAI-2017-A000320,4
AAAI-2017-P0090,AAAI-2017-A000321,5
AAAI-2017-P0090,AAAI-2017-A000322,6
AAAI-2017-P0091,AAAI-2017-A000323,1
AAAI-2017-P0091,AAAI-2017-A000324,2
AAAI-2017-P0091,AAAI-2017-A000325,3
AAAI-2017-P0091,AAAI-2017-A000326,4
AAAI-2017-P0091,AAAI-2017-A000327,5
AAAI-2017-P0092,AAAI-2017-A000328,1
AAAI-2017-P0092,AAAI-2017-A000329,2
AAAI-2017-P0092,AAAI-2017-A000330,3
AAAI-2017-P0093,AAAI-2017-A000331,1
AAAI-2017-P0093,AAAI-2017-A000332,2
AAAI-2017-P0094,AAAI-2017-A000333,1
AAAI-2017-P0094,AAAI-2017-A000334,2
AAAI-2017-P0094,AAAI-2017-A000335,3
AAAI-2017-P0094,AAAI-2017-A000336,4
AAAI-2017-P0095,AAAI-2017-A000337,1
AAAI-2017-P0096,AAAI-2017-A000338,1
AAAI-2017-P0096,AAAI-2017-A000339,2
AAAI-2017-P0096,AAAI-2017-A000340,3
AAAI-2017-P0097,AAAI-2017-A000341,1
AAAI-2017-P0097,AAAI-2017-A000342,2
AAAI-2017-P0097,AAAI-2017-A000343,3
AAAI-2017-P0097,AAAI-2017-A000344,4
AAAI-2017-P0098,AAAI-2017-A000345,1
AAAI-2017-P0098,AAAI-2017-A000346,2
AAAI-2017-P0098,AAAI-2017-A000347,3
AAAI-2017-P0099,AAAI-2017-A000348,1
AAAI-2017-P0099,AAAI-2017-A000349,2
AAAI-2017-P0099,AAAI-2017-A000350,3
AAAI-2017-P0099,AAAI-2017-A000351,4
AAAI-2017-P0100,AAAI-2017-A000352,1
AAAI-2017-P0100,AAAI-2017-A000353,2
AAAI-2017-P0100,AAAI-2017-A000354,3
AAAI-2017-P0101,AAAI-2017-A000355,1
AAAI-2017-P0101,AAAI-2017-A000356,2
AAAI-2017-P0101,AAAI-2017-A000357,3
AAAI-2017-P0102,AAAI-2017-A000358,1
AAAI-2017-P0102,AAAI-2017-A000359,2
AAAI-2017-P0102,AAAI-2017-A000360,3
AAAI-2017-P0102,AAAI-2017-A000361,4
AAAI-2017-P0103,AAAI-2017-A000362,1
AAAI-2017-P0103,AAAI-2017-A000363,2
AAAI-2017-P0103,AAAI-2017-A000364,3
AAAI-2017-P0103,AAAI-2017-A000365,4
AAAI-2017-P0104,AAAI-2017-A000366,1
