paper_id,author_id,author_name,institution_candidate,country_candidate,first_page_text_path
CVPR-2015-P0110,CVPR-2015-A000401,Johannes L. Schonberger,"Department of Computer Science, The University of North Carolina at Chapel Hill",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0110.txt
CVPR-2015-P0110,CVPR-2015-A000402,Alexander C. Berg,"Department of Computer Science, The University of North Carolina at Chapel Hill",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0110.txt
CVPR-2015-P0110,CVPR-2015-A000403,Jan-Michael Frahm,"Department of Computer Science, The University of North Carolina at Chapel Hill",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0110.txt
CVPR-2015-P0111,CVPR-2015-A000404,Jiaolong Yang,"Beijing Lab of Intelligent Information Technology, Beijing Institute of Technology | Research School of Engineering, The Australian National University (ANU) and NICTA",Australia,data/raw/cvpr/2015/first_pages/CVPR-2015-P0111.txt
CVPR-2015-P0111,CVPR-2015-A000405,Hongdong Li,"Research School of Engineering, The Australian National University (ANU) and NICTA | ARC Centre of Excellence for Robotic Vision (ACRV)",Australia,data/raw/cvpr/2015/first_pages/CVPR-2015-P0111.txt
CVPR-2015-P0112,CVPR-2015-A000406,Pedro Rodrigues,"Institute of Systems and Robotics, University of Coimbra",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0112.txt
CVPR-2015-P0112,CVPR-2015-A000407,Joao P. Barreto,"Institute of Systems and Robotics, University of Coimbra",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0112.txt
CVPR-2015-P0113,CVPR-2015-A000408,Soonmin Hwang,"Korea Advanced Institute of Science and Technology (KAIST), Republic of Korea",South Korea,data/raw/cvpr/2015/first_pages/CVPR-2015-P0113.txt
CVPR-2015-P0113,CVPR-2015-A000409,Jaesik Park,"Korea Advanced Institute of Science and Technology (KAIST), Republic of Korea",South Korea,data/raw/cvpr/2015/first_pages/CVPR-2015-P0113.txt
CVPR-2015-P0113,CVPR-2015-A000410,Namil Kim,"Korea Advanced Institute of Science and Technology (KAIST), Republic of Korea",South Korea,data/raw/cvpr/2015/first_pages/CVPR-2015-P0113.txt
CVPR-2015-P0113,CVPR-2015-A000411,Yukyung Choi,"Korea Advanced Institute of Science and Technology (KAIST), Republic of Korea",South Korea,data/raw/cvpr/2015/first_pages/CVPR-2015-P0113.txt
CVPR-2015-P0113,CVPR-2015-A000412,In So Kweon,"Korea Advanced Institute of Science and Technology (KAIST), Republic of Korea",South Korea,data/raw/cvpr/2015/first_pages/CVPR-2015-P0113.txt
CVPR-2015-P0114,CVPR-2015-A000413,Jimmy Addison Lee,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0114.txt
CVPR-2015-P0114,CVPR-2015-A000414,Jun Cheng,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0114.txt
CVPR-2015-P0114,CVPR-2015-A000415,Beng Hai Lee,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0114.txt
CVPR-2015-P0114,CVPR-2015-A000416,Ee Ping Ong,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0114.txt
CVPR-2015-P0114,CVPR-2015-A000417,Guozhen Xu,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0114.txt
CVPR-2015-P0114,CVPR-2015-A000418,Damon Wing Kee Wong,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0114.txt
CVPR-2015-P0114,CVPR-2015-A000419,Jiang Liu,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0114.txt
CVPR-2015-P0114,CVPR-2015-A000420,Augustinus Laude,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0114.txt
CVPR-2015-P0114,CVPR-2015-A000421,Tock Han Lim,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0114.txt
CVPR-2015-P0115,CVPR-2015-A000422,Yu Kong,Department of Electrical and Computer Engineering,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0115.txt
CVPR-2015-P0115,CVPR-2015-A000423,Yun Fu,Department of Electrical and Computer Engineering | College of Computer and Information Science.,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0115.txt
CVPR-2015-P0116,CVPR-2015-A000424,Wonsik Kim,"Department of ECE, ASRI, Seoul National University, - , Seoul, Korea",South Korea,data/raw/cvpr/2015/first_pages/CVPR-2015-P0116.txt
CVPR-2015-P0116,CVPR-2015-A000425,Kyoung Mu Lee,"Department of ECE, ASRI, Seoul National University, - , Seoul, Korea",South Korea,data/raw/cvpr/2015/first_pages/CVPR-2015-P0116.txt
CVPR-2015-P0117,CVPR-2015-A000426,Ming Jiang,"Department of Electrical and Computer Engineering, National University of Singapore",Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0117.txt
CVPR-2015-P0117,CVPR-2015-A000427,Shengsheng Huang,"Department of Electrical and Computer Engineering, National University of Singapore",Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0117.txt
CVPR-2015-P0117,CVPR-2015-A000428,Juanyong Duan,"Department of Electrical and Computer Engineering, National University of Singapore",Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0117.txt
CVPR-2015-P0117,CVPR-2015-A000429,Qi Zhao,"Department of Electrical and Computer Engineering, National University of Singapore",Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0117.txt
CVPR-2015-P0118,CVPR-2015-A000430,Hakan Bilen,"ESAT-PSI / iMinds, VGG, Dept. of Eng. Sci. KU Leuven, Belgium University of Oxford",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0118.txt
CVPR-2015-P0118,CVPR-2015-A000431,Marco Pedersoli,"ESAT-PSI / iMinds, VGG, Dept. of Eng. Sci. KU Leuven, Belgium University of Oxford",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0118.txt
CVPR-2015-P0118,CVPR-2015-A000432,Tinne Tuytelaars,"ESAT-PSI / iMinds, VGG, Dept. of Eng. Sci. KU Leuven, Belgium University of Oxford",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0118.txt
CVPR-2015-P0119,CVPR-2015-A000433,Hoo-Chang Shin,"Imaging Biomarkers and Computer-Aided Diagnosis Laboratory Radiology and Imaging Sciences National Institutes of Health Clinical Center Bethesda, MD -",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0119.txt
CVPR-2015-P0119,CVPR-2015-A000434,Le Lu,"Imaging Biomarkers and Computer-Aided Diagnosis Laboratory Radiology and Imaging Sciences National Institutes of Health Clinical Center Bethesda, MD -",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0119.txt
CVPR-2015-P0119,CVPR-2015-A000435,Lauren Kim,"Imaging Biomarkers and Computer-Aided Diagnosis Laboratory Radiology and Imaging Sciences National Institutes of Health Clinical Center Bethesda, MD -",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0119.txt
CVPR-2015-P0119,CVPR-2015-A000436,Ari Seff,"Imaging Biomarkers and Computer-Aided Diagnosis Laboratory Radiology and Imaging Sciences National Institutes of Health Clinical Center Bethesda, MD -",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0119.txt
