paper_id,title,paper_page_url,pdf_url
ICML-2025-P0001,Aggregation of Dependent Expert Distributions in Multimodal Variational Autoencoders,https://proceedings.mlr.press/v267/a-mancisidor25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/a-mancisidor25a/a-mancisidor25a.pdf
ICML-2025-P0002,Lightweight Protocols for Distributed Private Quantile Estimation,https://proceedings.mlr.press/v267/aamand25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/aamand25a/aamand25a.pdf
ICML-2025-P0003,Breaking the $n^1.5$ Additive Error Barrier for Private and Efficient Graph Sparsification via Private Expander Decomposition,https://proceedings.mlr.press/v267/aamand25b.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/aamand25b/aamand25b.pdf
ICML-2025-P0004,Improved Approximations for Hard Graph Problems using Predictions,https://proceedings.mlr.press/v267/aamand25c.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/aamand25c/aamand25c.pdf
ICML-2025-P0005,Graph Neural Network Generalization With Gaussian Mixture Model Based Augmentation,https://proceedings.mlr.press/v267/abbahaddou25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/abbahaddou25a/abbahaddou25a.pdf
ICML-2025-P0006,LMRL Gym: Benchmarks for Multi-Turn Reinforcement Learning with Language Models,https://proceedings.mlr.press/v267/abdulhai25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/abdulhai25a/abdulhai25a.pdf
ICML-2025-P0007,Task Generalization with Autoregressive Compositional Structure: Can Learning from $D$ Tasks Generalize to $D^T$ Tasks?,https://proceedings.mlr.press/v267/abedsoltan25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/abedsoltan25a/abedsoltan25a.pdf
ICML-2025-P0008,Consensus Is All You Get: The Role of Attention in Transformers,https://proceedings.mlr.press/v267/abella25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/abella25a/abella25a.pdf
ICML-2025-P0009,Soup-of-Experts: Pretraining Specialist Models via Parameters Averaging,https://proceedings.mlr.press/v267/ablin25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/ablin25a/ablin25a.pdf
ICML-2025-P0010,Parameters vs FLOPs: Scaling Laws for Optimal Sparsity for Mixture-of-Experts Language Models,https://proceedings.mlr.press/v267/abnar25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/abnar25a/abnar25a.pdf
ICML-2025-P0011,Grokking in the Wild: Data Augmentation for Real-World Multi-Hop Reasoning with Transformers,https://proceedings.mlr.press/v267/abramov25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/abramov25a/abramov25a.pdf
