paper_id,author_id,author_name,variant,variant_priority,variant_coverage,author_count,institution_candidate,candidate_score,first_page_text_path,source_url
AAAI-2019-P0001,AAAI-2019-A000001,Yu-Hang Zhou,stacked,2,6,6,"Alibaba Group, Hangzhou, China",2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0001,AAAI-2019-A000002,Chen Liang,stacked,2,6,6,"Alibaba Group, Hangzhou, China",-2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0001,AAAI-2019-A000003,Nan Li,stacked,2,6,6,"Alibaba Group, Hangzhou, China",-2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0001,AAAI-2019-A000004,Cheng Yang,stacked,2,6,6,"Alibaba Group, Hangzhou, China",-2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0001,AAAI-2019-A000005,Shenghuo Zhu,stacked,2,6,6,"Alibaba Group, Hangzhou, China",-2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0001,AAAI-2019-A000006,Rong Jin,stacked,2,6,6,"Alibaba Group, Hangzhou, China",-2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0001,AAAI-2019-A000001,Yu-Hang Zhou,shared,3,6,6,"Alibaba Group, Hangzhou, China",2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0001,AAAI-2019-A000002,Chen Liang,shared,3,6,6,"Alibaba Group, Hangzhou, China",-2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0001,AAAI-2019-A000003,Nan Li,shared,3,6,6,"Alibaba Group, Hangzhou, China",-2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0001,AAAI-2019-A000004,Cheng Yang,shared,3,6,6,"Alibaba Group, Hangzhou, China",-2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
