conference,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AAAI,24.53,28.60,34.97,38.57,42.39,46.79,41.62,43.09,54.45,62.02,65.79
CVPR,22.63,22.85,26.73,32.61,41.61,45.37,45.52,48.57,51.40,51.86,56.02
ECCV,,15.62,,19.79,,31.33,,39.57,,42.59,
ICCV,24.14,,32.27,,38.72,,43.35,,52.23,,57.49
ICML,12.50,0.00,5.99,7.75,7.07,9.39,13.26,17.40,19.15,26.92,33.26
NeurIPS,6.63,8.48,14.69,16.74,16.80,20.29,26.52,33.51,35.26,42.09,48.69
