conference,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AAAI,20.86,25.30,30.07,34.57,39.09,43.24,40.10,41.77,52.79,59.78,64.83
CVPR,19.93,21.15,24.39,30.64,38.72,41.20,41.75,44.94,47.26,47.79,52.84
ECCV,,3.86,,2.70,,17.85,,23.85,,23.66,
ICCV,21.86,,30.27,,35.72,,39.58,,48.24,,54.46
ICML,7.78,6.52,7.37,9.18,8.28,10.15,13.44,18.65,18.87,27.74,34.56
NeurIPS,3.97,6.51,8.55,13.19,12.19,13.33,18.25,23.82,25.73,33.63,38.98
