conference,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AAAI,18.10,20.56,25.10,29.40,35.89,40.73,38.53,40.18,51.22,58.58,63.11
CVPR,18.27,18.97,22.73,27.48,36.01,38.13,38.86,42.48,44.33,45.14,50.23
ECCV,,3.61,,2.44,,16.46,,22.33,,22.03,
ICCV,19.96,,27.70,,33.21,,36.97,,45.69,,51.43
ICML,1.11,0.00,5.07,6.28,5.56,7.38,10.82,13.87,14.77,21.53,26.52
NeurIPS,2.73,3.35,6.19,7.84,7.57,9.64,12.68,17.71,19.83,27.95,33.02
