track_label,track_url
No. 1: AAAI-25 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/issue/view/624
No. 2: AAAI-25 Technical Tracks 2,https://ojs.aaai.org/index.php/AAAI/issue/view/625
