paper_id,author_id,author_name,variant,variant_priority,variant_coverage,author_count,institution_candidate,candidate_score,first_page_text_path,source_url
ECCV-2016-P0002,ECCV-2016-A000009,Cheng-Yang Fu et al.,shared,3,0,6,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0002.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000010,Xi Peng,numbered,0,2,4,"Rutgers University, Piscataway, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000011,Rogerio S. Feris,numbered,0,2,4,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000012,Xiaoyu Wang,numbered,0,2,4,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000013,Dimitris N. Metaxas,numbered,0,2,4,"Rutgers University, Piscataway, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000010,Xi Peng,stacked,2,4,4,"Rutgers University, Piscataway, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000011,Rogerio S. Feris,stacked,2,4,4,"Rutgers University, Piscataway, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000012,Xiaoyu Wang,stacked,2,4,4,"Rutgers University, Piscataway, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000013,Dimitris N. Metaxas,stacked,2,4,4,"Rutgers University, Piscataway, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000010,Xi Peng,shared,3,4,4,"Rutgers University, Piscataway, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000011,Rogerio S. Feris,shared,3,4,4,"Rutgers University, Piscataway, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000012,Xiaoyu Wang,shared,3,4,4,"Rutgers University, Piscataway, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000013,Dimitris N. Metaxas,shared,3,4,4,"Rutgers University, Piscataway, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000014,Shengtao Xiao,numbered,0,5,6,Department of Electrical and Computer Engineering,2,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000015,Jiashi Feng,numbered,0,5,6,Department of Electrical and Computer Engineering,2,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000016,Junliang Xing,numbered,0,5,6,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000017,Hanjiang Lai,numbered,0,5,6,Department of Electrical and Computer Engineering,2,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000018,Shuicheng Yan,numbered,0,5,6,Department of Electrical and Computer Engineering,2,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000019,Ashraf Kassim,numbered,0,5,6,Department of Electrical and Computer Engineering,2,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000014,Shengtao Xiao,stacked,2,2,6,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000015,Jiashi Feng,stacked,2,2,6,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000016,Junliang Xing,stacked,2,2,6,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000017,Hanjiang Lai,stacked,2,2,6,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000018,Shuicheng Yan,stacked,2,2,6,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore, Singapore",6,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000019,Ashraf Kassim,stacked,2,2,6,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore, Singapore",6,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000014,Shengtao Xiao,shared,3,6,6,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore, Singapore",6,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000015,Jiashi Feng,shared,3,6,6,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore, Singapore",6,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000016,Junliang Xing,shared,3,6,6,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore, Singapore",6,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000017,Hanjiang Lai,shared,3,6,6,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore, Singapore",6,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000018,Shuicheng Yan,shared,3,6,6,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore, Singapore",6,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0004,ECCV-2016-A000019,Ashraf Kassim,shared,3,6,6,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore, Singapore",6,data/raw/eccv/2016/first_pages/ECCV-2016-P0004.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0005,ECCV-2016-A000020,Pedro O. Pinheiro,numbered,0,3,4,"Facebook AI Research, Menlo Park, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0005.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0005,ECCV-2016-A000021,Tsung-Yi Lin,numbered,0,3,4,"Facebook AI Research, Menlo Park, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0005.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0005,ECCV-2016-A000022,Ronan Collobert,numbered,0,3,4,"Facebook AI Research, Menlo Park, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0005.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0005,ECCV-2016-A000023,Piotr Dollár,numbered,0,3,4,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0005.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0005,ECCV-2016-A000020,Pedro O. Pinheiro,stacked,2,3,4,"Facebook AI Research, Menlo Park, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0005.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0005,ECCV-2016-A000021,Tsung-Yi Lin,stacked,2,3,4,"Facebook AI Research, Menlo Park, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0005.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0005,ECCV-2016-A000022,Ronan Collobert,stacked,2,3,4,"Facebook AI Research, Menlo Park, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0005.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0005,ECCV-2016-A000023,Piotr Dollár,stacked,2,3,4,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0005.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0005,ECCV-2016-A000020,Pedro O. Pinheiro,shared,3,4,4,"Facebook AI Research, Menlo Park, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0005.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0005,ECCV-2016-A000021,Tsung-Yi Lin,shared,3,4,4,"Facebook AI Research, Menlo Park, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0005.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0005,ECCV-2016-A000022,Ronan Collobert,shared,3,4,4,"Facebook AI Research, Menlo Park, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0005.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0005,ECCV-2016-A000023,Piotr Dollár,shared,3,4,4,"Facebook AI Research, Menlo Park, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0005.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0006,ECCV-2016-A000024,Xiaoyong Shen,stacked,2,5,5,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0006.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0006,ECCV-2016-A000025,Xin Tao,stacked,2,5,5,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0006.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0006,ECCV-2016-A000026,Hongyun Gao,stacked,2,5,5,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0006.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0006,ECCV-2016-A000027,Chao Zhou,stacked,2,5,5,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0006.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0006,ECCV-2016-A000028,Jiaya Jia,stacked,2,5,5,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0006.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0006,ECCV-2016-A000024,Xiaoyong Shen,shared,3,5,5,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0006.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0006,ECCV-2016-A000025,Xin Tao,shared,3,5,5,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0006.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0006,ECCV-2016-A000026,Hongyun Gao,shared,3,5,5,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0006.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0006,ECCV-2016-A000027,Chao Zhou,shared,3,5,5,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0006.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0006,ECCV-2016-A000028,Jiaya Jia,shared,3,5,5,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0006.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0007,ECCV-2016-A000029,Ronghang Hu,numbered,0,3,3,"UC Berkeley EECS, Berkeley, CA, USA",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0007.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0007,ECCV-2016-A000030,Marcus Rohrbach,numbered,0,3,3,"UC Berkeley EECS, Berkeley, CA, USA",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0007.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0007,ECCV-2016-A000031,Trevor Darrell,numbered,0,3,3,"UC Berkeley EECS, Berkeley, CA, USA",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0007.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0007,ECCV-2016-A000029,Ronghang Hu,stacked,2,3,3,"UC Berkeley EECS, Berkeley, CA, USA",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0007.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
